"index","address","amount","status"
0,"0x3138841a2cab1df6c745a3319cc943a18143979a","8929","Not claimed"
1,"0xa59a8d652a26c491b1b073fa8f9d455f16c1f5a0","7143","Not claimed"
2,"0xbba06256d6b676eac77ffea3249b31c5c43b64bd","7501","Not claimed"
3,"0x781bdd6357c30ebd5928c7e7a0699c237078fcd4","2143","Not claimed"
4,"0x21b44b450b0bc1bf0bb2b906fff1ee690a948654","1429","Not claimed"
5,"0x22d6fd4111ce3c6d3366ac190273b0bd5b5c406e","1786","Not claimed"
6,"0xe73c98667c82bb76e58c0d9b065b6a0c9ea2d088","1072","Not claimed"
7,"0xd332c18f7e43e5543c1f6c6671c91c66cb8bc503","715","Not claimed"
8,"0xda5b9c259ed8cd691eeac28206930fbbaf8a9574","4286","Not claimed"
9,"0xeb82fd8cfda71446981dee0a44b4bc033ef07d4a","2858","Not claimed"
10,"0x0d688b896389b4604ee60bfa90f013550baaf683","1429","Not claimed"
