"index","address","amount","status"
0,"0xe27a94268f5aa5b70748a38e58293cd993579a91","7300","Not claimed"
1,"0xeb82fd8cfda71446981dee0a44b4bc033ef07d4a","9490","Not claimed"
2,"0xcd66bca9753a91a0cbfe09e5a2edc906b5788452","1825","Not claimed"
3,"0x77208e03f917a4788d3a38342302a85f3e37459f","1825","Not claimed"
4,"0xb3072e6745c3d812fb91a0a57b8533e566af661e","912","Not claimed"
5,"0xefae920ba6cd1882b973388d30e0e267bb7b1d01","6022","Not claimed"
6,"0x54dce2f25438d7edb7ff2f0b1653dd8ab30513c4","1277","Not claimed"
7,"0xda5b9c259ed8cd691eeac28206930fbbaf8a9574","4197","Not claimed"
8,"0x38f16e400856c61d28da7da7cb59a1581b29f524","1095","Not claimed"
9,"0xa0efd36d09640bdbe03f30c213350cc856d0938e","1825","Not claimed"
10,"0x1a304d2b29046cba2fd2524ea2a22ab2af48916e","730","Not claimed"
11,"0x78965cecb4696165b374fea43bac3029006dec2c","730","Not claimed"
12,"0xee338d63acd2d3564ba918aad806f3f5bb724dfb","730","Not claimed"
13,"0xb955db051bf09a645c26730752e28f5e3776088f","730","Not claimed"
14,"0xa3bdd0dba8b3194ae3c94cab9f950e990f6d8bc2","730","Not claimed"
15,"0x91701e0e728bf9ce94d0d64527362495776f1b80","730","Not claimed"
16,"0xe98f0b95292c2c7a3cee33e091cc953f0f1c3cbe","1460","Not claimed"
17,"0xabec6e862039fcf13efe66a0306b2e0847dc2042","1460","Not claimed"
18,"0x2bff04344ed136c0c401b461dc5dbaaa9833c2c0","1460","Not claimed"
19,"0x3a34b6c9367a68ebad83b8cfead53eb9250d6e3e","3650","Not claimed"
20,"0x3f0583e6b17389e6fcf2d25c1c4b83d32bdbe51c","3650","Not claimed"
21,"0xb4f95db0d6a753434bc937eb45f869480d17e352","146","Not claimed"
22,"0x8d46e2147204fe1c91147aa24bc83780349008c5","73","Not claimed"
