"index","address","amount","status"
0,"0xda5b9c259ed8cd691eeac28206930fbbaf8a9574","727397","Not claimed"
1,"0xd127104daca54bcb2ca3b0549e00774c63673194","85013","Not claimed"
2,"0x8dcb932aef7422fa09fc00a13170f072314a7092","35422","Not claimed"
3,"0xefae920ba6cd1882b973388d30e0e267bb7b1d01","99181","Not claimed"
4,"0x531ecd2b513f115130eb6ab574784890b1e4b06f","24795","Not claimed"
5,"0xeb82fd8cfda71446981dee0a44b4bc033ef07d4a","24795","Not claimed"
6,"0x0a720858656dde97d691b215e079a135e681383a","17711","Not claimed"
7,"0xabec6e862039fcf13efe66a0306b2e0847dc2042","8856","Not claimed"
8,"0x54dce2f25438d7edb7ff2f0b1653dd8ab30513c4","8856","Not claimed"
9,"0xb3072e6745c3d812fb91a0a57b8533e566af661e","23025","Not claimed"
10,"0xecde1e6f391ae2324d3b0548a950c3015e8eee07","5313","Not claimed"
11,"0x3a34b6c9367a68ebad83b8cfead53eb9250d6e3e","54904","Not claimed"
12,"0x3a85d8c1ff64d01677679d46a1a195174104601b","3542","Not claimed"
13,"0xcd66bca9753a91a0cbfe09e5a2edc906b5788452","46048","Not claimed"
14,"0x3f0583e6b17389e6fcf2d25c1c4b83d32bdbe51c","60217","Not claimed"
15,"0xe2217fd0ba147b9cce52af40b3136b297b33f446","7084","Not claimed"
16,"0x81eadc5bcb525e2be32a039ae7ab531591df7df1","7084","Not claimed"
17,"0xe82153467d1b7c17ceaf6f3ca96b474cb49b8c51","7084","Not claimed"
18,"0x3c476bcf3c4f1fe4fd521b535eb54b8cd3c524d3","14168","Not claimed"
19,"0x89a476195e73c7ba552fc507f16f1315df33e7ad","7084","Not claimed"
20,"0xbd3d1c07519f45531fc9e639b86192650eca6a5a","7084","Not claimed"
21,"0x8b6bea097431fddd47a7daaf5f4bc695b68d9599","7084","Not claimed"
22,"0x0bc0a524ecd730be22a5d8f697efec818fde0e65","7084","Not claimed"
23,"0xc43df0a4464e27d9baf822e4b3833a45ce861700","7084","Not claimed"
24,"0xad0c2385061fd96adce3ade48cfa697c98f973dc","7084","Not claimed"
25,"0x730f6b2700e2c2333600e2d2bf073fd207585c50","49591","Not claimed"
