"index","address","amount","status"
0,"0xf19ce385c3267ceea7a6fb23d8fecb16183843d7","442","Not claimed"
1,"0x0bccd4a3bb6325daf4a32d0243a2f693bcc6fb61","4092","Not claimed"
2,"0x78965cecb4696165b374fea43bac3029006dec2c","4092","Not claimed"
3,"0x1692ecd81fbac9efc23f1be1867d568fbe7ec809","442","Not claimed"
4,"0xd406c013b7419158ca68617ecf7d3e3f40800c13","442","Not claimed"
5,"0xda5b9c259ed8cd691eeac28206930fbbaf8a9574","442","Not claimed"
6,"0x75918b4ba92ed76a68999ed1b37add93bfed9303","442","Not claimed"
7,"0x38f16e400856c61d28da7da7cb59a1581b29f524","442","Not claimed"
8,"0xf22dc9996da8fd05f05ef0825d4805fb60f19147","442","Not claimed"
9,"0x09c7a05635b9e755369871cd49bd8b400dc5df1d","442","Not claimed"
10,"0xefae920ba6cd1882b973388d30e0e267bb7b1d01","5917","Not claimed"
11,"0xcd66bca9753a91a0cbfe09e5a2edc906b5788452","4092","Not claimed"
12,"0x3f0583e6b17389e6fcf2d25c1c4b83d32bdbe51c","442","Not claimed"
13,"0xb3072e6745c3d812fb91a0a57b8533e566af661e","442","Not claimed"
14,"0x3a34b6c9367a68ebad83b8cfead53eb9250d6e3e","442","Not claimed"
15,"0xb955db051bf09a645c26730752e28f5e3776088f","442","Not claimed"
16,"0xeb82fd8cfda71446981dee0a44b4bc033ef07d4a","442","Not claimed"
17,"0x17a6b7fc4d460a9533b38d4e91955702e6323998","442","Not claimed"
18,"0x481408b17c0837a19e530041fefc90593b307d14","5916","Not claimed"
19,"0x8d5d62099f937fb31e5f5078838836b3dc14eb24","442","Not claimed"
20,"0x8a1d03f13f7de4ae4ae9986c804c959b9ed29bfb","442","Not claimed"
21,"0x09e6a264894beefeaab757196826f7c42b4b3f3f","4092","Not claimed"
22,"0xe27a94268f5aa5b70748a38e58293cd993579a91","4092","Not claimed"
23,"0xea5c2136609e8f62c5e7e0f6dce9266281cd40e1","4092","Not claimed"
24,"0xa0efd36d09640bdbe03f30c213350cc856d0938e","442","Not claimed"
25,"0xa3bdd0dba8b3194ae3c94cab9f950e990f6d8bc2","442","Not claimed"
26,"0xe98f0b95292c2c7a3cee33e091cc953f0f1c3cbe","442","Not claimed"
27,"0xabec6e862039fcf13efe66a0306b2e0847dc2042","442","Not claimed"
28,"0x588031347beaa0d43978bc8c0094138a67d1a071","442","Not claimed"
29,"0x21f179c79a159359d20a94f68b99ad88db44afca","442","Not claimed"
30,"0xdae84990eb19e08b9ab134b8ceb6f6a58e00bf54","442","Not claimed"
31,"0x70279891dc0cadc733413f3c104fb197df55edb9","442","Not claimed"
32,"0xa10b4edc873adcd3feae8413cae42c41f720fb64","442","Not claimed"
33,"0x4d80786aac9995e8876eef2312fc7fd6e9f14dcf","205","Not claimed"
34,"0x8d46e2147204fe1c91147aa24bc83780349008c5","22","Not claimed"
35,"0xbe236b156768801ccaf59d3aee864f51133aeeee","22","Not claimed"
