"index","address","amount","status"
0,"0xefe82d1eaf95191a28b8498688a4704d04efd52f","1","Not claimed"
1,"0x3cca089c1f1f314a26fa55513852e747a5ddfec4","1","Not claimed"
2,"0xb6338e154c4a6fe0d0a0134b7d7d063f1d6a0722","1","Not claimed"
3,"0x8d8b9d2e5577ad98d7e57ce866418756151b6301","1","Not claimed"
4,"0x0194325bf525be0d4fbb0856894ced74da3b8356","1","Not claimed"
5,"0x9ed40064a73fe8a7ecf4f0cf05463a3dbc179a3c","1","Not claimed"
6,"0xee5b88000d418b4bb57a1487dc060c1aed83812f","1","Not claimed"
7,"0x78362090cd0678ea2742ee8eb7f5c9482597da7b","1","Not claimed"
8,"0x04bee613690e98a1959f236c38abaa5f2439b14a","1","Not claimed"
9,"0x14a89b696ced1ca0e94956485290739db74cdb07","1","Not claimed"
10,"0xee2ae6a93ff559ba93443f6a7006de63b1eaf88a","1","Not claimed"
11,"0xb339d14ce639c38f30d70a3f500d0caa8cc7fc3a","1","Not claimed"
12,"0x6757b9e9a888b2ed5c490d99a202240bbaee34bb","1","Not claimed"
13,"0x4f0ecedcd73da0315134741d9d3830b08fe32e95","1","Not claimed"
14,"0x938bf2b8a7e40472d846e50b8ffe763a0fc749d4","1","Not claimed"
15,"0x25ee28028b3101b136f60fe1a7cd3f90c678754c","1","Not claimed"
16,"0xe61209e1b2b5e6200d8cbd25cc9de7c1afd6ca21","1","Not claimed"
17,"0x66c7fe6d7e15049d4f432dc7e189ee76e17f8fef","1","Not claimed"
18,"0xf655e23b8e53402833519b1de7ecbd4f63d5e6ad","1","Not claimed"
19,"0x0adf30835546e34925d846203e0f68dbc0a47886","1","Not claimed"
20,"0xf4721923947359e21256c9bd2768c6fd7b471ec1","1","Not claimed"
21,"0x691f055bb7a8ddebf3f706e2a9bbac325e6b61f1","1","Not claimed"
22,"0x03f4e1528d883f0daee095decd55f908c0fc758e","1","Not claimed"
23,"0x6125e6ddb5e18ceaecd889ba07fd59c131ffe20e","1","Not claimed"
24,"0x3a63717548f60eec71bfe86eec55cb1ba1f554ab","1","Not claimed"
25,"0x4bbb30c26aeb7abdbfb937d5c206cc29f9706323","1","Not claimed"
26,"0x68795ef06702ae66b7fd6c3a2e92ea58ef95301d","1","Not claimed"
27,"0x30ac049d85bff91c71cbe30d67c4aea00ce6dbdd","1","Not claimed"
28,"0xb1e9d641249a2033c37cf1c241a01e717c2f6c76","1","Not claimed"
29,"0xf3388de4b85cbb9fa6080a2a7a79157abdd9f498","1","Not claimed"
30,"0x44ad8a6f010fb28d248563e2bb5328e61b970ccb","1","Not claimed"
31,"0xdf6db5906c5a03cbed248db2e5bb257eff825a31","1","Not claimed"
32,"0x5de81af11cc158ba45928278f61fa94f0e78047a","1","Not claimed"
33,"0x48c4520f973b6d01ac233a831ab5d0aecb95190c","1","Not claimed"
34,"0x23c910023a65a2a18f0b5c8ad1206530d75ce0f7","1","Not claimed"
35,"0x2225723952dc1db233a4acd6b752729e6c9dc376","1","Not claimed"
36,"0x6f86fd77d7d11127120e24d77477c9507838c016","1","Not claimed"
37,"0xff6657fb62d096e48df19d3fac645b3f250b73ba","1","Not claimed"
38,"0x9aed3348586d58a0caa3c0e2a51e383e1f9b30d9","1","Not claimed"
39,"0xde4fba63d8498991b117a18ff9e8e66c716ed202","1","Not claimed"
40,"0xcab57e3f0cbc5f9dac0058b3a2af139a80172050","1","Not claimed"
41,"0x19088350f875844687d590fa6423b8f834fd109f","1","Not claimed"
42,"0xf70820885c6e48c18e61c72c7bb0380456f6ea4c","1","Not claimed"
43,"0x69f6fedb833b8a4e6b2206255a907e7c3e212c63","1","Not claimed"
44,"0x531295bf1e4de3b8c03f0c3a2f969250be80f47a","1","Not claimed"
45,"0x30abd50ef2eb8a0941ba35d289d8f91d4b3b38e5","1","Not claimed"
46,"0xa5f6057a21da3a919008e8791c19c849fe98e1f9","1","Not claimed"
47,"0x83279183648cc5b67d44287a37eadcba8bae98f7","1","Not claimed"
48,"0x1b23b740ba5c4473d0d0d6c5b8c9467d874c2d3a","1","Not claimed"
49,"0x1a6e9cab2fcc2d97ff64c1d5d70610060b79e873","1","Not claimed"
50,"0xc759e22df74b74f75f3a8a634c27c8ab5dbef935","1","Not claimed"
51,"0xea6e392fffed28901364d42eba5d8a04c51eb882","1","Not claimed"
52,"0x9240d4b5b51fe17091d74e8bb5be6655eaab794b","1","Not claimed"
53,"0xafeb652b6db9fe1eb7104296426168c3ed2d0730","1","Not claimed"
54,"0x5a9d2d6fe9d949a02d96c6ee7028625759b0b8be","1","Not claimed"
55,"0xe7b69c2263932289748b322a597ebf93208b61ed","1","Not claimed"
56,"0xfebbfbe7091febbba2b46828af200c7ece374c45","1","Not claimed"
57,"0xf2643e655b01355accb09f781f90cc46c8b066df","1","Not claimed"
58,"0xf389dd1f828525b449d63d14157f2d3a25ee0a41","1","Not claimed"
59,"0x8de90adbd431dfdae0cd81937fc1156031d50f19","1","Not claimed"
60,"0x399e0ae23663f27181ebb4e66ec504b3aab25541","1","Not claimed"
61,"0x0125d2592545cff824449849808c089d372c5eaf","1","Not claimed"
62,"0xc15792b8578fc26c10de7f88191ecff579151866","1","Not claimed"
63,"0x65ef8facf7ed55816436bbc8ceb1e27b6a60761f","1","Not claimed"
64,"0x4c5f4f9df7968b0db448526162114a04f3462bad","1","Not claimed"
65,"0x19c5ba086fea6f3a8e84b75d3592f28211bc586b","1","Not claimed"
66,"0x14309dfb9c20b767627dad2788820069a333cd76","1","Not claimed"
67,"0x220576274cd2561a1cc396b023a36631862604f0","1","Not claimed"
68,"0xdaf65c6eb950583950af68c18a2d099468f8f6b0","1","Not claimed"
69,"0xacaab044f7d833fda425b0752659409e81f35023","1","Not claimed"
70,"0x082f9507d9114a539cc420edf51dcd37d1fdee30","1","Not claimed"
71,"0x1396678567caf934906c45d0d66c8096d54ef8c8","1","Not claimed"
72,"0xd38ed5dada136c62907a586474333cef49323534","1","Not claimed"
73,"0x79e1411d2c5898d7f706b35acc5e0b80db32f0b3","1","Not claimed"
74,"0x41e2cc0dc7df7a95b6cc87ec44b9f0b425a592ee","1","Not claimed"
75,"0x6ab53794466383ca012dddc228d981dcbf40e3a6","1","Not claimed"
76,"0x6a08f8149693a13d1f51783e46fb640bdaec1c51","1","Not claimed"
77,"0xac643357bbda44e46896dcfb195a09cb8c6ae279","1","Not claimed"
78,"0xfade41403a1eee72d805c42f1eaf5f53a54d0e0d","1","Not claimed"
79,"0x656a11eab955541d289204fcbfb74d8d442b1186","1","Not claimed"
80,"0x82ff47aad5cc0d1b59cec41064a9c1207c175762","1","Not claimed"
81,"0x39ee315fa61f995dc11ce943d6783d2ded9dfc72","1","Not claimed"
82,"0x4b69d6081ff943afd0c6561c3da5ac563ce4cdfb","1","Not claimed"
83,"0x83287ecfb6439a9e067544956751168aebb11714","1","Not claimed"
84,"0x84dba59c321d0e9888a958280669c873a6b4a881","1","Not claimed"
85,"0x7cfc4e6f4fbc90a5affdbd410404e59485a64f0c","1","Not claimed"
86,"0x27eb4d3c5cd4af11d7058d902b18c3afbde26bb4","1","Not claimed"
87,"0x308d09b5b030ac28aa6d2b0040a04a7c41259bff","1","Not claimed"
88,"0xba8a8a9f8eb205c4c3347da676b5cf0e622afc9a","1","Not claimed"
89,"0xa929f0764ff83e4b815ad0358927297df9cd1e16","1","Not claimed"
90,"0x9d0f6813fb1896ad8568d00c88a19350c5f8c57d","1","Not claimed"
91,"0x6277f0457cbd2ded7ba93a8338d1deb1d08a8795","1","Not claimed"
92,"0x2ab6b941a7ac38746feaf1df2c4798b2000465bf","1","Not claimed"
93,"0x2218a37513b2bdd11226e43a22ce6732bf07323b","1","Not claimed"
94,"0xd061a5642a9a9046a774730a2d790cdec698450f","1","Not claimed"
95,"0x9d075e0e6a995f8236dc0587e335499ae888337b","1","Not claimed"
96,"0x34a4cc4fbbc87ea540a11e357d9776debc275b4f","1","Not claimed"
97,"0xb93a0562ff8e6ad8602a1eef1f2c37fda9007ef2","1","Not claimed"
98,"0x6221f45c95c22581e5b52ebbfd68ae401cd1f22b","1","Not claimed"
99,"0xac1c487f78564dffb2c94d6f28edf04e18843004","1","Not claimed"
100,"0x7c12b3acbffb57ffec03ff269194442510d8295a","1","Not claimed"
101,"0xf15e37f217a2eb15f55c9762e4256521e3a72d64","1","Not claimed"
102,"0x9a048a7bf38306c055c05606a6010c78cfc7c1e8","1","Not claimed"
103,"0x281f15f3d52995029a39f9375379ce209f2ec806","1","Not claimed"
104,"0xd064ee0f4d6a822357033d565db79cbd1d63f7d1","1","Not claimed"
105,"0x067526baa12f7e65fe4d8080886c8f6078272456","1","Not claimed"
106,"0x3da8b91e175b812874380cb87999bc210959ed04","1","Not claimed"
107,"0x6212ee7822265ce44b56c943bfd4bccc03aec42a","1","Not claimed"
108,"0x9ed4f69a005aebdb2f67c8c594d3980799f8f8b8","1","Not claimed"
109,"0xab797d314a442e8bedabbde49c4830dee506d3c6","1","Not claimed"
110,"0x429c3686037bfd15c364e60be2d46939840e0ed5","1","Not claimed"
111,"0xca3ee50809106d0073d517dd79472f2cd892f148","1","Not claimed"
112,"0x697840092e1b78a1e2ebd4bcc07bbce14f522566","1","Not claimed"
113,"0xaee1eb13c7dce3a257967d97032b1f43719e74ec","1","Not claimed"
114,"0x84af6f38199dc1f898d44a74123b7d213903c8ad","1","Not claimed"
115,"0xc638b10eb5d754bd26bb8ddaca71c7e52d1db93c","1","Not claimed"
116,"0x9fdeb58d90bd8d6abf04c0c956bba72b9d1db0d4","1","Not claimed"
117,"0x64e6fdd639e1811272fd5b0bc051580e84bf93bc","1","Not claimed"
118,"0xb1d700b89ba6f706fa0e5724d08bb6bcc813d9f0","1","Not claimed"
119,"0x512045a2b56007ce5c08dc617a35ad84dd078a2d","1","Not claimed"
120,"0xa0c7ad717cfdb69c8da2e02b0641afb997631e77","1","Not claimed"
121,"0xf906374b123ba7ee0b40942b1df49d36b5c000da","1","Not claimed"
122,"0x21a8529a0180fb36037599c375bb37ac765359bd","1","Not claimed"
123,"0xb59edb8dbb393a5b8286c1acd658098bf854fa63","1","Not claimed"
124,"0xcf82fdd676ffebf4f5ebe344b06f76110be6942b","1","Not claimed"
125,"0xe7380da2f2f12e946cd7d8806ef5b2818cd52881","1","Not claimed"
126,"0x258ef34747ef8115b56004a63e03fc4c3f795af1","1","Not claimed"
127,"0xfb0b15c4f18658d7e30c51fc23a27725063c6b7e","1","Not claimed"
128,"0x47602a62a8c3672482952ef0d091f21b383780a5","1","Not claimed"
129,"0x59e4ac2a6ae1b98b5bee3d0027645d04a56ca2e0","1","Not claimed"
130,"0xe892a97fe1b53e539fca215b02735704726b67be","1","Not claimed"
131,"0x0da57c139c6f3b72769ba7465ed84f122f2e9c1e","1","Not claimed"
132,"0x4e37e3a0e7a9715f13a1fb87823fba374fb024ae","1","Not claimed"
133,"0x53e50a35c7f4edc386819ba9e7ee307e0f6b98fc","1","Not claimed"
134,"0x961dacfb0b3004385fa95989722724e25c327955","1","Not claimed"
135,"0x0894bdab6da676640526a7ecd0c2567b9bf5f6fb","1","Not claimed"
136,"0x7bcfa18332404eb6745ecb21ceb97414fa5adc8b","1","Not claimed"
137,"0x31659733690726cdc1268de0116324aec3546ba6","1","Not claimed"
