"index","address","amount","status"
0,"0xc70b0b44e47e8604b4234f2d2d8e79540b0cf64b","23000","Not claimed"
1,"0xe98180a21e6562bb783b3db84f8a73b367faa857","4000","Not claimed"
2,"0xe73c98667c82bb76e58c0d9b065b6a0c9ea2d088","6000","Not claimed"
3,"0xda5b9c259ed8cd691eeac28206930fbbaf8a9574","8000","Not claimed"
4,"0xce98fa9edbdc77e02c341456e119d3829ae40ebf","4000","Not claimed"
5,"0xb4ec3a8299aed31f327a3633854a6d6610434525","54000","Not claimed"
6,"0xbac7c13e375ed96ddfe5c36618d4873ecac934dd","11548.71","Not claimed"
7,"0xccbab37cdd21a6c78bd84aa5d75e8a7b8dca6927","16000","Not claimed"
8,"0x897b3929b6d77e3d2e0676258c12260f29885fd3","32000","Not claimed"
9,"0x2c6bdf8bd274f2897a6e67c87e7dd375380cbae3","10000","Not claimed"
10,"0x4d80786aac9995e8876eef2312fc7fd6e9f14dcf","12000","Not claimed"
11,"0x84f4c801add05f3baf1d6294927143667d55f9cf","8000","Not claimed"
12,"0x38e8a52ee60ea89a5b086cd0d3da4108efd4827e","24000","Not claimed"
13,"0x11231f7dc863f36a6516eb4ef052f195000e0000","24000","Not claimed"
14,"0x71ca1834b42cc6f8783fc0b461cf5a0f8b568a50","61200","Not claimed"
15,"0x26b9375e1639420dbc842442e1ab02f8ce2d29e3","54000","Not claimed"
