"index","address","amount","status"
0,"0xc66a44b14f1cc2bee5ca2cccfdea5ad09e92a1ea","21739.13","Not claimed"
1,"0x55e0e4bed3f110a374a19d189057fbf577fc4fe8","4347.83","Not claimed"
2,"0xe73c98667c82bb76e58c0d9b065b6a0c9ea2d088","6521.74","Not claimed"
3,"0xda5b9c259ed8cd691eeac28206930fbbaf8a9574","8695.65","Not claimed"
4,"0x36ae04bdf0061ddd4c4366d6e6ea2293e7b419b5","1304.35","Not claimed"
5,"0x87c3155e99e2de012a320a4a2855d1d2b1ec3b2c","4347.83","Not claimed"
6,"0xce98fa9edbdc77e02c341456e119d3829ae40ebf","56521.74","Not claimed"
7,"0xb4ec3a8299aed31f327a3633854a6d6610434525","58695.65","Not claimed"
8,"0xbac7c13e375ed96ddfe5c36618d4873ecac934dd","7781.7","Not claimed"
9,"0xccbab37cdd21a6c78bd84aa5d75e8a7b8dca6927","22826.27","Not claimed"
10,"0x897b3929b6d77e3d2e0676258c12260f29885fd3","17391.3","Not claimed"
11,"0x2c6bdf8bd274f2897a6e67c87e7dd375380cbae3","10869.57","Not claimed"
12,"0x4d80786aac9995e8876eef2312fc7fd6e9f14dcf","13043.48","Not claimed"
13,"0x84f4c801add05f3baf1d6294927143667d55f9cf","8695.65","Not claimed"
14,"0x38e8a52ee60ea89a5b086cd0d3da4108efd4827e","26086.96","Not claimed"
15,"0x11231f7dc863f36a6516eb4ef052f195000e0000","26086.96","Not claimed"
16,"0x71ca1834b42cc6f8783fc0b461cf5a0f8b568a50","24316.09","Not claimed"
17,"0x26b9375e1639420dbc842442e1ab02f8ce2d29e3","58695.65","Not claimed"
