"index","address","amount","status"
0,"0xc66a44b14f1cc2bee5ca2cccfdea5ad09e92a1ea","20000","Not claimed"
1,"0x55e0e4bed3f110a374a19d189057fbf577fc4fe8","4000","Not claimed"
2,"0x842f8f6fb524996d0b660621da895166e1cea691","6130.38","Not claimed"
3,"0xe73c98667c82bb76e58c0d9b065b6a0c9ea2d088","6000","Not claimed"
4,"0xda5b9c259ed8cd691eeac28206930fbbaf8a9574","8000","Not claimed"
5,"0x36ae04bdf0061ddd4c4366d6e6ea2293e7b419b5","600","Not claimed"
6,"0x87c3155e99e2de012a320a4a2855d1d2b1ec3b2c","4000","Not claimed"
7,"0xce98fa9edbdc77e02c341456e119d3829ae40ebf","20000","Not claimed"
8,"0xb4ec3a8299aed31f327a3633854a6d6610434525","54000","Not claimed"
9,"0xbac7c13e375ed96ddfe5c36618d4873ecac934dd","6295.44","Not claimed"
10,"0xccbab37cdd21a6c78bd84aa5d75e8a7b8dca6927","16000","Not claimed"
11,"0x897b3929b6d77e3d2e0676258c12260f29885fd3","16000","Not claimed"
12,"0xe62f80910c2b87149d2d85e830e9502ae280bd66","4000","Not claimed"
13,"0x2c6bdf8bd274f2897a6e67c87e7dd375380cbae3","10000","Not claimed"
14,"0x8496d042a44abf31ee457e212d5e6a911a95a8aa","12000","Not claimed"
15,"0x84f4c801add05f3baf1d6294927143667d55f9cf","8000","Not claimed"
16,"0x38e8a52ee60ea89a5b086cd0d3da4108efd4827e","29000","Not claimed"
17,"0x11231f7dc863f36a6516eb4ef052f195000e0000","24000","Not claimed"
18,"0x71ca1834b42cc6f8783fc0b461cf5a0f8b568a50","27000","Not claimed"
19,"0x26b9375e1639420dbc842442e1ab02f8ce2d29e3","54000","Not claimed"
