"index","address","amount","status"
0,"0x01ab07010c2f4bf5971537669cc19d5d8cf320a0","100","Not claimed"
1,"0x6f3ffac9365b3164cae7db938542510904ad5488","200","Not claimed"
2,"0x3073f0af75a52369d453bbeaaf2130b44032641a","200","Not claimed"
3,"0xa7a0d703340461d1346b133604276bb7d5b48b58","200","Not claimed"
4,"0xa331943eecd698253752b3f65089e492289048d3","200","Not claimed"
5,"0x078f20eae691b0ac629930c26ba5c72ec038b2d3","200","Not claimed"
6,"0x6687c671980e65ebd722b9146fc61e2471558dd6","100","Not claimed"
7,"0xd011dc77ac9d333e9d388e42b6762638bdd046a9","200","Not claimed"
8,"0x87ed13f54ac913421aef97349ec136bf36c53425","200","Not claimed"
9,"0x0c23258535e02fc30defb23cbbf6a3fce1b55025","200","Not claimed"
10,"0x901a6ea7b347da5bfc3856c5ee2621df3779b1b4","200","Not claimed"
11,"0x5fea21c3fc60fe4de74ece48b57ee67477c72b27","250","Not claimed"
12,"0x19e667489660050d3b24b680702423c575cdf1b4","100","Not claimed"
13,"0x2c636f7d8661443f73fe85b3662eae6422cbc908","100","Not claimed"
14,"0x8bb9e141350a49bdd3b1be940c34d34fbed8b5d2","200","Not claimed"
15,"0x000e15d21f315de87003af2d3080a55746fc70cf","100","Not claimed"
16,"0xc97a75caf35d309bc0c15a7febb2e05d784301f6","200","Not claimed"
17,"0x5432826e52f4b56ed196266140ca8769677af89c","200","Not claimed"
18,"0x71bd9aa9d7739b317abf5a73225892529907e501","200","Not claimed"
