"index","address","amount","status"
0,"0xd58270a79ccc81caa39bcc5bff72b485d7956aea","43108876","Not claimed"
1,"0x72c4cf740e322353a50ddd7fd0d1ffb149e3a65e","39440655","Not claimed"
2,"0x2bde3b9c0129be4689e245ba689b9b0ae4ac666d","14668909","Not claimed"
3,"0x807dc01d44407d3efa0171f6de39076a27f20338","13214091","Not claimed"
4,"0x8c7f8e274c0a22368eab10fed7608f7e7e5546ee","6837766","Not claimed"
5,"0xdff92a1d3c7832cbcc762ee5f326679dd801648e","6361267","Not claimed"
6,"0xfe828ee52f00e2e928fbd6060ed9a0322fd886e7","6329337","Not claimed"
7,"0xdf9f67004fb7e1b5ff7a91ad5f3de950af217dfd","6145046","Not claimed"
8,"0x5ad5d14fd858a729736aad114a25f89319f9a2d8","3593803","Not claimed"
9,"0xfc07f5f616193db30c70423d7d96217e2fb04682","3457217","Not claimed"
10,"0xeb577275b16df5977d0db3a2e57e9dfe34f99119","3022404","Not claimed"
11,"0x7d60ac5c3484674daf49bec1d19e6b371e666814","2597892","Not claimed"
12,"0x9139253e1e0c405db9a964fcf48a6ef83bea4264","2380028","Not claimed"
13,"0xf93d594d455a815f84e525e5260024478bd946d1","2375237","Not claimed"
14,"0xb2cce013c761eb36b15c1dd195a59b38e289241c","2264195","Not claimed"
15,"0xac0b629a3e7fed0f55019a9dfeff8f6504d92182","2239541","Not claimed"
16,"0xbd530a1c060dc600b951f16dc656e4ea451d1a2d","2187315","Not claimed"
17,"0xf34844fac0f1145ce0d55e7357e188b99d6eadd3","2126056","Not claimed"
18,"0x911a6d66a2a60ceafb894cedf60cd00042f6300d","2031180","Not claimed"
19,"0x6db5aba41738aee0a09ad2ada91133ccea2a3f54","1986552","Not claimed"
20,"0x98265a1ff213dd8136e0bf58c2c40cb47d2b8648","1967937","Not claimed"
21,"0x7dc0a282fcc494ef0ea59cba06f8709c04c1aee5","1939979","Not claimed"
22,"0x5997ca74ec10109ea2c5a519671b5f1420b17fe8","1876789","Not claimed"
23,"0x00a888a4cac1a5a82029bff090aaddb98407303a","1825588","Not claimed"
24,"0xcdf211b6d5ffd431f7c35e621452eed24f037667","1494159","Not claimed"
25,"0x7a2b82c0267ce3d4695bf96061ab84a9422701d2","1457432","Not claimed"
26,"0x2744016618eee84cdf127968c26b9f4fff0a9479","1313565","Not claimed"
27,"0x16adbc867084bdc81f79ea25c47dfb6d1171c58d","1299640","Not claimed"
28,"0xd7fe6f89e00251cd3eeb2f592ddf400560fe0651","1259253","Not claimed"
29,"0xefc40e0b3873dc765bdcb1c4b04c6e946599eab5","1236594","Not claimed"
30,"0xe826cf83f03732ea35eaf4cd9627d57529feca4b","1196350","Not claimed"
31,"0x7792110192c2343d53a2fd32f9bef54faba6600f","1175353","Not claimed"
32,"0xca7dcce3ddbe5e290df7200d2df353c58e6c9fb2","1142639","Not claimed"
33,"0xb0414845ad84aa9acf170278029aa0fcb0b33604","1075894","Not claimed"
34,"0x9472397981bb0def8fa5b6265ce8902a522d47f5","1061134","Not claimed"
35,"0x1cc9347df80c6898f83819a048d1fffb12fb3749","1041781","Not claimed"
36,"0x5e000a56cd58c475744f9a1e236e70d5cdcbbd20","1021929","Not claimed"
37,"0xc1f400922e1f57306356e39fd9118a23a903b1d4","1010851","Not claimed"
38,"0x47c6aa0cecee9b0b359746994f1dc1d1551c3054","1007402","Not claimed"
39,"0xd447cc4a3eedb0cd04a63b24c5363050f24318b3","987010","Not claimed"
40,"0x52d1c4121963d74801f9d0d9321b542f086fe04d","963036","Not claimed"
41,"0x0093e5f2a850268c0ca3093c7ea53731296487eb","954666","Not claimed"
42,"0x27515ddb2588edca926566156b03a3f141faac07","898393","Not claimed"
43,"0x0c7e6c53945ae566a4949edeab7dbcd3eacf9ec6","852644","Not claimed"
44,"0x8fb186b94756f5658d16df90abce4b84bceea31e","849622","Not claimed"
45,"0x21555c9b51a558bfa350f95a03fcb07b584cbf63","848018","Not claimed"
46,"0x47890e03a263cc53d1689ab72ad02a187cf1c4cd","842195","Not claimed"
47,"0x7b6e5278a14d5318571d65aced036d09c998c707","787288","Not claimed"
48,"0xfa13d0b159124d22f3686e3efe2f4a570acffd6f","779989","Not claimed"
49,"0x6d04b3f82a0b42a09f355fea3bccce3c819ad5b5","777071","Not claimed"
50,"0xb92fba67f64609f6a3fb98fbe46df869e9d38154","759857","Not claimed"
51,"0xd1284eee41b756930ec3e13aae1af2add7d04f02","754367","Not claimed"
52,"0x94413624987a901e618fbc39db5aa4649f9a169e","719873","Not claimed"
53,"0xf16503db3ba01a3f9b173e7b56a2915fc72b0414","700782","Not claimed"
54,"0xf533c6aa028172ec3648098913efcd09b04bef37","686093","Not claimed"
55,"0xba9d7f85cc21bb5b856ff9d0694eb4055a2e6631","674702","Not claimed"
56,"0x39fbda59b08a444e17f6fa4732d800b26a2b4a8b","634469","Not claimed"
