"index","address","amount","status"
0,"0xfc07f5f616193db30c70423d7d96217e2fb04682","16306","Not claimed"
1,"0x57eff077a9caa022371cad16dcdf06516d1ee188","9794","Not claimed"
2,"0xc9ab15047c9a131e5c1b567fa11e2cd7cfd97dd2","8848.809982","Not claimed"
3,"0xf44b52c11b1c800722e8fdf4aa7f3076339e73c4","8530","Not claimed"
4,"0x8408994a8779fead20934e9569b6e89bb4e0d0fd","8437.60378","Not claimed"
5,"0x810e65132c5ba12ab2874e4d05299046abe0556b","7002","Not claimed"
6,"0x21555c9b51a558bfa350f95a03fcb07b584cbf63","5970","Not claimed"
7,"0xf6be5b79f2c702506dfb6f304974d25571e4a6aa","5552","Not claimed"
8,"0xeb3f83c871abe0e5d4042976ab6c9f46ac3f6b07","5413","Not claimed"
9,"0x60611fc2b04882483167e13ee38c86615177a748","5314","Not claimed"
10,"0x648e9002d994191b577b093646d02b89d56eef01","5268","Not claimed"
11,"0x2f5358abe9960d211677b76f1410c977d6d3ba6c","5087","Not claimed"
12,"0xac465ff0d29d973a8d2bae73dcf6404dd05ae2c9","5039","Not claimed"
13,"0xb0414845ad84aa9acf170278029aa0fcb0b33604","4993","Not claimed"
14,"0xefc40e0b3873dc765bdcb1c4b04c6e946599eab5","4678","Not claimed"
15,"0xd1284eee41b756930ec3e13aae1af2add7d04f02","4638","Not claimed"
16,"0xe9b6f1cf616dd478e9aa8117e4d57c1d4e3d64e6","4540.273803","Not claimed"
17,"0x7a2b82c0267ce3d4695bf96061ab84a9422701d2","4509","Not claimed"
18,"0x5f439a0e0a04a5b8f8979f6bf0ba505b43a8f8fc","4476","Not claimed"
19,"0xc0e9ec12f342b279676f8f0cb4268b2f147f1cfb","4187","Not claimed"
20,"0x17443f321a2ec804661fa41c873e0fe75c7f56a0","3904","Not claimed"
21,"0xfbae6fd6658973792ce006e134a3edcaaf6aa3eb","3782","Not claimed"
22,"0xa4981cad0e385cd956a5febb904f36fddaa9dcfe","3720","Not claimed"
23,"0xb3d8ab962cba81b923d9f4dcb56864e1d0e20a4e","3576","Not claimed"
24,"0x6a114b4c27a90416de5e686390b06f779395956d","3572","Not claimed"
25,"0x3847f30404cdd1bd526e6f31c8d8e7ee3d901735","3530","Not claimed"
26,"0xb6133520456c2eb8ddf74b8e8cf1d093f76fccdb","3269","Not claimed"
27,"0xe826cf83f03732ea35eaf4cd9627d57529feca4b","3144","Not claimed"
28,"0x20c5f5ea63c509d6501179a06dd41534c79e1613","3099","Not claimed"
29,"0x0e34278c0dfe77af486dc2791bdf47307819bf04","3086","Not claimed"
30,"0xf34844fac0f1145ce0d55e7357e188b99d6eadd3","3042","Not claimed"
31,"0x07c91b3993a696b0bedcbe146948cebce5a2d774","3001","Not claimed"
32,"0xebf1d6c3eca6be57882edf3ef4d37b3a39f3c098","2946","Not claimed"
33,"0xba865273811e0c0f2bcfb4f7aeebbdcf15d409ec","2917.836542","Not claimed"
34,"0x9fe1c07a4b2ee2842eee679ae719bb23ed341c18","2815","Not claimed"
35,"0x16edff02d1607b75a4d847608eae57f2eb1ca2da","2814","Not claimed"
36,"0x86c0c09eb33e39af391d1c6f67dffc65915eaf2e","2808","Not claimed"
37,"0x2e6ddaa78c3db7bef53a65d4921a088d17b15f92","2800","Not claimed"
38,"0xd4cdb8466c9a902c5abcf8d1d64df5205a74de0c","2790","Not claimed"
39,"0x927c9b3a68c1e90df35b3b36ee9d30d8933da791","2778","Not claimed"
40,"0x60575dcd3137f82f1f18df40f9bc0555ada2fbe8","2724.239219","Not claimed"
41,"0xc92a15cf8f3f8392e50ec44a81f29e1799ae1fc9","2720","Not claimed"
42,"0xed4746fb9e0b2ece3708cb676b0741a4180ed1aa","2684","Not claimed"
43,"0x0c7e6c53945ae566a4949edeab7dbcd3eacf9ec6","2637","Not claimed"
44,"0x0d66715f2bb956c845f265f62de377aef3ec3a07","2613","Not claimed"
45,"0x21b44b450b0bc1bf0bb2b906fff1ee690a948654","2586","Not claimed"
46,"0xdc1f57db504495a979a64e71f9c62b626042e810","2556","Not claimed"
47,"0x52d1c4121963d74801f9d0d9321b542f086fe04d","2555","Not claimed"
48,"0x99cbd00722983b1d4b046b72503ed30705b0e7bf","2541","Not claimed"
49,"0x1e054c1055aabe02c1f7c65cb70d034ed2f0d992","2520","Not claimed"
50,"0xc9daa2ffee04fa05c9d7199d2faba14ee712a9ae","2430","Not claimed"
51,"0x5a0d8e3b571077b53f5f116218af85823d9fe4ea","2374.924583","Not claimed"
52,"0xc4784bb8ee943f408a876fac881ce4ef1100409a","2325","Not claimed"
53,"0x3772bfad95ea1e9171ed9ce4da3e2e2f3bbd099b","2314","Not claimed"
54,"0x988927e90d1144061ed33edb9656537842719f8c","2308","Not claimed"
55,"0xd8fdd107754e7e541df60a408ed73ed66fa2d990","2272","Not claimed"
56,"0x00a888a4cac1a5a82029bff090aaddb98407303a","2264","Not claimed"
57,"0x98265a1ff213dd8136e0bf58c2c40cb47d2b8648","2262","Not claimed"
58,"0x5ad5d14fd858a729736aad114a25f89319f9a2d8","2250","Not claimed"
59,"0x62810f139d083bc02de422cc9c9f5e84eb94c8cb","2206","Not claimed"
60,"0xf81669039cde3d6014349e7cf3d5fbab1dc4bfd5","2201","Not claimed"
61,"0xc88c7806ea31a88f31d094243b48670b58c2cf42","2164","Not claimed"
62,"0xd1c22dd6772fe095c1e9e61e74c638604d9de02a","2155","Not claimed"
63,"0x19d39f291ca884a1ca32fd6230103af2ad0252c3","2147","Not claimed"
64,"0xec1625f0be12b31d8edfdd165f7750ee4630a475","2130","Not claimed"
65,"0xb803cc308727de87e82e90d60c6fae3c46d2012e","2105","Not claimed"
66,"0x7be8938ad868a26737afc38af6a2d5d4a8b3c0d6","2090.382355","Not claimed"
67,"0x2dfcbcc365065e0dac1d27481a4332fd78aa24c2","2074","Not claimed"
68,"0x0084f1798082146a3182aaa26a72a11f78ac7e2a","2034","Not claimed"
69,"0x911a6d66a2a60ceafb894cedf60cd00042f6300d","2033","Not claimed"
70,"0x0e70fd4ea2a0063396fed52a999d64f661774be2","1924","Not claimed"
