"index","address","amount","status"
0,"0xc70b0b44e47e8604b4234f2d2d8e79540b0cf64b","26136.36","Not claimed"
1,"0xe73c98667c82bb76e58c0d9b065b6a0c9ea2d088","6818.18","Not claimed"
2,"0x24faaf0848b0dee170e606e1c01266e321606475","9090.91","Not claimed"
3,"0xb4ec3a8299aed31f327a3633854a6d6610434525","61363.64","Not claimed"
4,"0xbac7c13e375ed96ddfe5c36618d4873ecac934dd","12422.88","Not claimed"
5,"0xd72dfebf190aad3b46936c9815ca849d59a81049","5000","Not claimed"
6,"0xccbab37cdd21a6c78bd84aa5d75e8a7b8dca6927","18290.75","Not claimed"
7,"0x897b3929b6d77e3d2e0676258c12260f29885fd3","36646.83","Not claimed"
8,"0x2c6bdf8bd274f2897a6e67c87e7dd375380cbae3","11363.64","Not claimed"
9,"0x4d80786aac9995e8876eef2312fc7fd6e9f14dcf","13636.36","Not claimed"
10,"0x041b383273771cda45a2a6bbdd4cdebf52125545","2272.73","Not claimed"
11,"0x4bf4e3a59add035c479cde89d98103cb65dca941","27272.73","Not claimed"
12,"0x71ca1834b42cc6f8783fc0b461cf5a0f8b568a50","36730.19","Not claimed"
13,"0x26b9375e1639420dbc842442e1ab02f8ce2d29e3","61363.64","Not claimed"
