Drop Name: Hype Blast 1a
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x0c49b71eD5b87eaCf1a233062B34eC8fccd5a48a
Total Amount: 816431.0300000001
Start Date: 2022-05-31T23:00:00.000Z
End Date: 2023-06-01T22:59:59.999Z

address,amount
0x5Da9aC2b36FE8415Df9AC15E3fBeE99dE5dC000A,166806.63
0x0dD094b897778a62E890Ca65d072c558b94ca515,81114.37
0x11231f7Dc863F36A6516Eb4EF052f195000e0000,54407.77
0xae568cc9305aF46a92FD33381C4731ADF198ad4E,44266.73
0x5d7C819071665450102e1F3AeB34C56f3d8309BA,43030.1
0x76da95534c57516625948baA9d069D5ed371b324,25240.78
0xb2aDd97Bec09898B71eE8DfeFB509a5552bfCDd3,25108.6
0xF814a8e1607Aa1d1a33F42a4c9B3b67eAdCE45bD,25054.05
0x6d3F1b18CD155ba5Aab0f3467E3CBE9c4a339656,25000
0x89B99b6D56A1799D63b9385e4998d15406817A4c,25000
0x2C8D2e50Ee03f98A2f4CCFbe1A61552b79bDF6fa,25000
0xD726f639291EdAe53F6765c36d4BC5e716AABC21,25000
0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,21053.46
0xa0c1FA3744C79BB662F77ac621a6adbe7F682232,19349.53
0xcdA2A0C1A26A12f7Cd55a8Ec1C45a5e661721bb6,14116.83
0x54E7452428ba68a3445356b44a6E1C11b73Fe4b2,13139.34
0x95DF823F29d5747C0Df79e85f8b9826cF7542D3f,12797.92
0x2c59900B9442b7A865F93219c04f553a0D7BD003,11361.21
0xdc1f57DB504495A979a64E71f9c62b626042e810,10864.53
0x87c3155e99e2De012A320a4a2855D1D2B1Ec3B2C,8973.61
0x928ce962019deEE5f7C515B3F8C0a9Fb7e63186e,7261.34
0xBE9b3933ECc52fBa404448fB02975825b0cd341E,6978.08
0x3D0Ec0ADbe7c22EE54F1221F5b023471a1c86E51,6755.97
0x2719BFa6b4DDe6D41e3a3A6203292c468a58d626,5331.37
0x56DBAd2493cB2B9f57a107336a0E9bA2A628ACC0,5262.92
0xcF277A7B75f08f97ED5a9913D4fDd3550bF9C51e,5149.64
0x1692ecD81FbAc9efC23F1BE1867D568fbe7eC809,5107.22
0xE4676b9F786535597f1a3890F9362e7499f5dEe0,4671.68
0xC0A8D7c093ECeFd6F4AEbE97172731c6A5d5FFf6,4462.19
0x5Cf614523f596CFd127E429cA04697F8e8b83580,4156.79
0xAb47e1ce605580c42A1b1eCa12831b17A18ea282,4112.97
0x256f05a004fD60Ed355BD1A55595641448d00593,4054.18
0xC556948a953303CCAE42CE3D3484CEc5c11fAEDe,4033.19
0xc76072e78dc8A2DC05136C567e0B3B9deBBf83FC,4031.12
0xf1E4D44C598F8e679B2D6aAbDc2F13571dfc5a47,4015.68
0xA3112c294dcaBcb8F4720A0F5C927aFc7fC5fDa1,3840.39
0x7c968D9Db13F02d203A97A2d26eb0379d0F201E3,3284.56
0x610da4675B5CD76db49108Db0c4b71060Ac29bce,3184.04
0xE65B51245F9819d4A60762a023DCD4e3800C5Ea2,3177.86
0x04eE14d114aa35789cfc345A7Ec1B2dFedC2b149,3110.51
0x8C05D284f9Bc857f4F1E9509B20990F7C6Ae9215,2863.43
0xDEc226BDDbB0B4d3f25A1f7F5c526D9215bC8563,2662.52
0x2e5d3099DFC4d40aC5348213e7418B44C3051ed8,2597
0x93eF147898FcFCa095d0B07Bb8A7e6Cf0Ed15c64,2511.82
0x1cA49Ef1e8ff9641becc2E618EE5B1665D98a421,2275.93
0x1e13e5B5ACBB0C3F0fDe50fE7661fdF75df8F932,2070.29
0xf978c2CbE1eD541419bba845121106334850cfd9,1806.99
0x8fb186b94756f5658D16dF90ABCE4B84bceeA31e,1793.99
0x8D5D62099f937fb31e5f5078838836B3Dc14Eb24,1654.12
0xc02427f0B937F9905C47dDCC661374E0A49C8F03,1638.69
0xBcbAFc53c6A37FFFF4Dac951d1c57d414aAe098A,1563.12
0x522aD4Cf5Efe083c28454D827C478548fD622f9d,1502.92
0x9aE82229ED6B302Ebec03d0DA6c14431F110B3b2,1374.26
0x5b358B8760a16503d36c51f0b7a6E539D8b83FE5,1269.87
0x598c9494a9E922B33EC492D7b3613FDaD9b66Ac8,1224.36
0x00b8cf5347b1d716aF821dF508f0C6a9037a367A,1187.23
0x3f7E0476A242d2B63B68d2d11E98d1d55cb4faA4,979.45
0xCF258CC97515D7ad437A2aF8faD32F905f57A45b,954.61
0xdA5b9c259eD8CD691EEac28206930fBBaf8a9574,877.11
0x4e42Bd9e46444146C6Ae31Bc301F0Ab7CF623eE7,824.56
0x3eE93b9c67dD9eA96E0a98CC49b6663eA786F85D,666.75
0x09e6a264894beEfEaAB757196826f7C42B4B3f3f,631.16
0xa504443AE3467c98adc9e640A05442f769d64945,617.36
0x78c8A38555F0920B17E2d665A1E1Ce29C52447AA,574.85
0x069E6BD4062A924D640C4d2c786a217210Acd59F,559.55
0xBBD35eb9119B66B9D4Eb98C65048d627039570C5,527.98
0x7139ba6F5158D491f440D20454bD38a380BFB5bd,462.93
0x373E7C751083afE5160b6187E007f371616B9F74,459.04
0x0f8e906E22cfDE4583CCb0C3751e7b4Bef29403D,455.43
0xA230A1BfEC0A0010Cf23603a2BCA0C74FD03abf2,441.53
0xE0b734Fc74fE781E98203876Ca50121200F3cF49,383.76
0xA1BCEEcF390eBeeF88A89ce3701F8cb946184eC0,383.3
0x75AAc7CbE0152A67AA31E401AF69A52C2f89994b,380.43
0x4AB7f312EF54fe1242b24989D4428815B4DF2865,373.66
0xb29fC57A24fB71BC9ef194Ef4dD7461F22366a43,353.52
0xc34FC1DFf817B9fb579daF0bbECE7f97A194C513,343.37
0x2443a8aC5C6133c9fe1805d82c617667E3df83Fd,334.7
0x581D37AA5FC8E3BfbFD73618b2E013Ee27233b49,331.64
0x0BccD4A3BB6325DAF4A32d0243a2F693BcC6fB61,304.77
0xA2832C05EAc10503F8d81b238f383f7B88251444,302.88
0x76F01069246e038BC57Ff6290C6dB4Be82163e3c,299.88
0xdDE26C0F5C11aAD7671C9CcD0cc17A95bf9453B5,293.08
0xBe8bdb4E1FA4A7f5A713ffbadb77A9051bE0790B,270.71
0x1Ead5A79D99F31A634BC2Efe3dc5A69c9627068F,270.54
0x3D8D5652094Cf125FEf6f3DA7767785186bC0e8b,257.68
0xeC3C71ff7B82784B998A8773E4775E25E2cf833A,243.97
0xe452E834ad237AeE142FD5e6991e1759462f4021,235.33
0xf006cB090CC69BcA84d194E072794d4815E69b3C,232.75
0xc5E3b113f864FaB0397D72e025f7EF9a9a3F7eAB,198.97
0xad64BD63e572A5CB006Ca2355CACd60542F4b5bE,196.41
0xF83f7fDa18eD2100Ab5b0E24dD49E81EAd4b46A1,183.83
0xfeB7c08f623aF02dC84CFd6Df948F5546aF6de72,181.75
0x0C8d05dB884d90Ca301d9DB38C5C01A9818aa39A,159.21
0xcCCddb3E1ADf2E252d8ff8a04002341AB459dE6e,157.17
0xf7076eEC850A3df877BE05744d485F9025720e0F,150.1
0xFfda9e4a839Bc1D80BC0318698d516cD3e522237,149.91
0xF83e211a14F95C152634D7D22DbbAA1f0a77d0BE,143.65
0x4c6f16904fDbaD19081B639dD6C8F9D967965281,111.07
0x517D723148a33600F06d439C86d433028f6B31e9,109.68
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,106.02
0x865D7eb5db37cc02ec209DD778f4e3851a421A20,105.44
0x59b81377DB42314c8842FD033e813fa6820F3dB9,90.6
0x5ec82346D596B14572BAA421795E3d495bae12f7,89.93
0xD36744956BD06CD280be1b27B20d532ADB0581A0,89.24
0xae45034bbe9c99bd38211979D958868FC34d4E5C,88.21
0x38430336153468dcf36Af5cea7D6bc472425633A,86.82
0xc56f0ac2eED3A3cA37062Fc83Bd124389E91a820,69.98
0xcb6362631d40a2aB0b3ca8D945Cfa5d9dF5f6749,54.88
0x664659EB3Ab4dB64E789117eC88b8eb9e1afBb10,52.07
0x59390d6e45d1E14f910bB1B7a51d3289E7a304FB,52.01
0xDa90550D77c40395164b487720Cb3eA7F8f598d2,50.2
0xc535e9C8b98F3337EB2633D59106C5a7EC6Cec23,49.13
0x74D0884CC9C424BC3790DFEBFee59cB3910AE24c,42.19
0x8c9e34F83739C78Cd897960a92373eE21774199D,39.47
0x6706Cbe0F6D77C51Cddf8D3a596Dc02952a8d8cd,36.93
0xbbd9cf8A5dCD42BE938A4b231a08371fc789455E,36.32
0xB7455E7935d1547f2109C457B0a59a587559F71B,35.14
0x01AE2E3cD609d9038dB1164e40aA77dD41C254d9,33.82
0x3ee81aA394614bB76976Ca3576420d7b1B6615a3,33.77
0x8c85BF2d845B8c017fFFBDE6213196AD66590e13,32.28
0x6cfDe6cAdE240348386733cfb0112a7DA23f2a8b,28.6
0xaa76ec375A4230C573898E01f2B7D537426F53A2,25.14
0x586bAbcBA1b7437d4976d0943132f9500dB5f386,25.05
0xC15639b9D6cb15711CcCbf6faf56CFb777b7e1EF,20.34
0x97B0007A60dc5aB577AE3Ce0ce220C71686e26C5,11.37
0x12d877aa175Cc4F9Dc7e66e1e3847aaEf47Ea45B,7.54
0x17a6b7FC4d460a9533B38D4e91955702e6323998,4.81
