Drop Name: Hype Facebook Promo
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x0c49b71eD5b87eaCf1a233062B34eC8fccd5a48a
Total Amount: 230000.0
Start Date: 2022-05-31T23:00:00.000Z
End Date: 2023-06-01T22:59:59.999Z

address,amount
0x0aE99ABB25f7DA440Abb55417a6f3c8674338AbA,10000
0x013140F3C6D14895959B9f7F398a4346BD9C69C6,10000
0x19cDDB6cbB95AA7E64f5288b0ee434dBC389De4D,10000
0xE48ebD27279cCa426Ecce8542138D74247EB37b7,10000
0x2da890689fB19fA592C6f6755B2358773b46F468,10000
0xF83f7fDa18eD2100Ab5b0E24dD49E81EAd4b46A1,10000
0xF332B034C43995DC0ccea081c69735605fE59Da2,10000
0xa35d342D272e5592e89541da174CBE13eFBB0170,10000
0xdf261752EA24c09a146E291bA42C1fB48431A381,10000
0xA41CCddaDc8df2510cF4B2C4e3AfA2A753edFe40,10000
0x65A7118f16d16930D8a718f44707315d1Fc27855,10000
0x8cB59E811Be5C96aCdd7eC299865546A4b0590E6,10000
0x74D0884CC9C424BC3790DFEBFee59cB3910AE24c,10000
0x67448E37aa2429c80bB80dd5C049f99Aad33C670,10000
0x04eE14d114aa35789cfc345A7Ec1B2dFedC2b149,10000
0xd3c6524990f8BEFBfDBf66e8b1205F0CB8E0BeF2,10000
0xf09164d952cC2C424e0b117C8248953cD9aF04b2,10000
0x35787e3b2B0470dB3bf8F6Ab06a9daabFafa39CB,10000
0xee4E5951A40AAcF2ab525a664b7b4677eB335A17,10000
0xfC7094c75B55EE0BfaE1eb2a69E0351815611c10,10000
0x9dB1597020c0eC532f0FDc9095BF1AcE2dD44091,10000
0xe6Fcb51C7EE5D15A5C8fc2b23D167Db6A963c799,10000
0xdc1f57DB504495A979a64E71f9c62b626042e810,10000
