Drop Name: HypeWave2
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x0c49b71eD5b87eaCf1a233062B34eC8fccd5a48a
Total Amount: 3795096.565000002
Start Date: 2022-05-02T23:00:00.000Z
End Date: 2023-05-03T22:59:59.999Z

address,amount
0xa6E0181ed17Af255D882d07B693e33C113F89Bf2,51745.71
0xa0c1FA3744C79BB662F77ac621a6adbe7F682232,404348.7
0xc02427f0B937F9905C47dDCC661374E0A49C8F03,34243.86
0x0BC3d3b6AB0Ff696909eF63E6D89AFe09c3EFf7f,110809.4
0xf1E4D44C598F8e679B2D6aAbDc2F13571dfc5a47,53184.94
0x8D5D62099f937fb31e5f5078838836B3Dc14Eb24,34566.24
0xcF277A7B75f08f97ED5a9913D4fDd3550bF9C51e,107612.4
0x5aD5d14fD858a729736Aad114A25f89319F9A2d8,460216.6
0x62365E0af7b6A188D063825AFa3399Ba0b5AA7Cd,89091.78
0x4350DCc74692d3FECd396CA61153C151746c7248,16864.18
0x55E7750e818cA488e1A866805b2B474632D534E0,24613.74
0xED276120932ac59d3Aa895D923f0e91109721B70,22195.79
0xfb0cEB0E881B44004DB236A443358912955C1e04,16864.18
0xe709eFE4d5d78a9d41A611E2e404a879Ed9524BF,18550.59
0x450B54732D34e6EEDF4301294bc99CBCB8d1A3cb,66541.74
0x2E3BDaAFa046A355a947d7dd50D8DAE34c0D0b44,34618.68
0xbaF71364Ed94aB4BeaF8774f3023979c9ca94Cb0,19225.16
0x4AB68c28Bd8FC35c164D72Ba6E3199B3C1aB6a97,16864.18
0x4e6E412490D11295d450d753d666661Ce2974bc2,58132.47
0x11231f7Dc863F36A6516Eb4EF052f195000e0000,97964.27
0xAb47e1ce605580c42A1b1eCa12831b17A18ea282,85949
0x2231E35dAE9F0c33141c9EAb05B1C1bc4Fb1df36,280017.5
0xe502d877eC5e7bAf8A652CaB7b5aD7b8C8A97cC1,16864.18
0x4F0dA995496B7d6F55f3298bb5aad98904e6D0bb,36089.34
0xb08A71CE5Bf10cDfF178beed009CA8919c6A2EB7,16864.18
0x536299a4fCF0d1d492596C2C816fc20F3F7Ec557,18529.28
0xcb15CdadD6b7124242Ddde3Ecd0E07FB0FB47519,16864.18
0x229ece3Db7a39127D71Ad33e43a2d6bdd9042c8B,33728.35
0x8496D042a44abF31Ee457E212d5E6a911A95a8aA,157366.5
0xbe5e2A0B9a260B17Ba6b7a2Ad5942D1DC1Daec62,23426.68
0x8C05D284f9Bc857f4F1E9509B20990F7C6Ae9215,59837.42
0x4a2705315e563A670a3003AC5c36EBe233e83d7B,8331.515
0x5851134ff13095542e0fDBC91244d7308b1196C3,16864.18
0x87c3155e99e2De012A320a4a2855D1D2B1Ec3B2C,187522.3
0x9De01C10e55e5f9492d0AD5E4A05f0a6077D5F14,33728.35
0x4f0fd6f8657F0286B25bB7a420789B90Ae0aC0DE,116048.3
0x33192EAF21bE9df5442C45f26A9cf8601b45310e,18550.59
0x7404ee3F9f7DE2c798ca5c8af3FEC851b0b53f9E,16864.18
0xb06A2b9E6ECB9636b72Ac5242521937BD7baF60F,33728.35
0xe7B9F9f73c414807f311496FD5F266d0F406Ec54,16864.18
0xdB2fF96e3dB0CAeaDa38323Ea3A830349a794C07,40622.09
0xf662972FF1a9D77DcdfBa640c1D01Fa9d6E4Fb73,33728.35
0xeeB0ce30A0050Ab27BE04D9f4D6DC1f98f1A9314,19156.03
0x70d0c25CB955Bc6E33c08aCF171e3Dbb2a6401D0,69802.95
0xE1269C202692f84e64bb7383Fa2b8a9093e73380,84320.88
0xdca7c33a8f2b1f3db9613E9BED094760c33d88D6,16864.18
0x1abBa4eDE1B9281E62d7BdF069c790cf9b44701F,19268.33
0xB1EC0568F061725D958E15F6488Fb070f45af9be,16958.67
0x25fdC78dcD2e199f9dBed3113843679d14Eb9ab9,16864.18
0x9aE82229ED6B302Ebec03d0DA6c14431F110B3b2,19225.16
0x1EfA0d654D2CeAf84e14c60B3971f572bA169253,125619.7
0x36c87acd0618b7e19Cb3DB71F39c381C87e4eE93,20560.49
0x60320CD47148Cb893634a17A99477fE6A89b73F1,18989.06
0x3D0Ec0ADbe7c22EE54F1221F5b023471a1c86E51,141180
0x6038A66e99f34874A1cD3A29D5Cb80d9822D09B7,19225.16
0xA56Cf848b33637Ac3B6E5124EFB119D5CF636484,68973.9
0x280A8675cF1d930c638F4f9Eb9dbe75823801D5a,16864.18
0x9Ef61B072c97B5e0bd120D84AC9Dff75aD099290,21333.41
0xC0A8D7c093ECeFd6F4AEbE97172731c6A5d5FFf6,93246.68
