Drop Name: HypeWave3
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x0c49b71eD5b87eaCf1a233062B34eC8fccd5a48a
Total Amount: 1805014.8990000025
Start Date: 2022-05-02T23:00:00.000Z
End Date: 2023-05-03T22:59:59.999Z

address,amount
0xc30b4559A1334EA821f6830d4cB080f5cF366C9B,3432.898
0x6D90ab69ad831Ee4cdd11BE8e185B7843d1bD385,606105.7
0xdA5b9c259eD8CD691EEac28206930fBBaf8a9574,18328.97
0xCeB32B004E498b8639b0f94904c003622A28786E,1686.418
0x9D7f7fF20672b2cF3F1B3706B286D0bDC4DAE366,1686.418
0x60E5aB86091752eEE0bf34547599DAF5B64fD429,3372.835
0xF38b740359D0a7eE22580C91E10083BB1A4988C7,21753.35
0x3803B6F9Bbf032c2299cEC3ac5F527424e3639bc,5459.326
0xd75C230CE06C91A89ef4667Aa98465DFb5d65Ff7,1686.418
0x93eF147898FcFCa095d0B07Bb8A7e6Cf0Ed15c64,25669.16
0x66EDBB15621F1Ba62828D07885e12263ca184B7A,1686.418
0xE18fE1FE0Cbae90B9C373336BEC90D3730eEdd91,1686.418
0xd8366F75a0F754838192CCf71d1A6492F35eaF87,30019.83
0x664038C03fc8864EEb013482E99eAA5404738071,1686.418
0xf7CF733433ACcadC7D99069C41F845d13Aa0f0C1,1686.418
0x3C4cdb56Da3B43d124C750d4E9927a336C239c02,3418.71
0x3ea9DD246531cdb4586640F73f6f56037Af328F1,3372.835
0x8Bdf0B5569D7526b39664A05e925CC31005c03c8,1686.418
0xF8E6eA3593c17738151eC0Ed760Dc160Fe765b95,31070.04
0x6f1f0597b0638A560D0b849D02bC2D4A9677fcb2,21377.5
0x0ccab1CFA3aD09170321B9347febfC58b65B686B,44202.48
0x5c7D1ECC1f6918e6F4064d634710f6d24711E186,1686.418
0x865D7eb5db37cc02ec209DD778f4e3851a421A20,2203.463
0xcdA2A0C1A26A12f7Cd55a8Ec1C45a5e661721bb6,297207.5
0x484f3e74A54D82fb0FbCD0cE9cA2E48aD9b87a57,1686.418
0x3eC93d9Bb7a125Bb8e62bD5BCB615B816fEAEef8,27077.09
0xfdb4175aeC84582715EEEF12Ef3E84BbeA9419e2,42532.23
0x041b383273771cDA45a2A6BbdD4CDEbf52125545,8434.604
0x83CC5e14E75b3AFCFbbB38521e60cb12Cb7EF584,8401.73
0xaDbb744a9434AAd006772CF76e79D246c4506D1B,1686.418
0x4be026f1546bD067f45336398906f60d271c72cD,4249.894
0x2D09b091922809a2b0Ead12866211fB4389A256C,2207.684
0x5013fcCDB5fd0754Fa071c5FbD24761b5cE1334D,1686.418
0x522aD4Cf5Efe083c28454D827C478548fD622f9d,1686.418
0x4F5506E06d1fdec899Dcac8F12D8155A1e101d8E,1686.418
0xB63511aE4c07492aCb6D3675568687821607Ee00,5037.443
0x3e1eE2D0D54223AD93B81aCB97521633d75C566C,1686.418
0xE0b734Fc74fE781E98203876Ca50121200F3cF49,8019.512
0x83d627652fE291d83fdde5Fe6a96cf219CCC7701,3264.901
0x598c9494a9E922B33EC492D7b3613FDaD9b66Ac8,12512.18
0x8fb186b94756f5658D16dF90ABCE4B84bceeA31e,37489.11
0x28c335EbFE056cEA2C8c5de151d305C949432326,4398.173
0xBc3afB39c432A92E61955998aBb8FEE4e8cAAe7E,8958.318
0x3138841a2cab1df6C745A3319cc943A18143979A,26622.46
0x66fe8EA30E986EdeD15eeE448542b2C90FaDa28f,1686.418
0xF14BFd18A05D05f7390dAd79170D8ce24C034e23,6468.685
0x6AaE81BE84f663d4D5586dc75b2a6ED910a53fE1,1686.418
0x1e1De4a8249A719D27b7901873C9043B23bc9f7A,19758.89
0xa0C6927eDCf00934cee8B577F49DE80E080AD334,2768.233
0x6994e8297F41E4d53Fd2496ba47aE347a1f512C9,39827.12
0xC3Df7D3Ea6BC94CF674E22052A5d374fF08901BD,1686.418
0x7c6B5f6eFf58480E4941684D2698CF3367D1D0d5,1686.418
0xE589D82BFcC7b49d530478C7a1eDEF9Eed72293e,1686.418
0x65b3C5ddC2D60F041AE80e34DF468212B10bb34F,1686.418
0x3D0Ab5B61C9da0db0D2b0346019AadA5397de8CD,13385.05
0x1FD1c92Cb6DFc4E990761062243D62Ac1280AAe5,1686.418
0x857aCcEcaf14b7B682b2d25FcaE409da2cC0523e,1686.418
0x2544053Fb05d3F11AE100aD5B7776149f4570d39,1686.418
0x078219B1128CE545555A71088a4bcf3fD8aB39c3,2124.886
0x176E2042a510d00aa69aA02E5f24D438CC6d8aB2,1686.418
0x0d66715F2BB956c845f265f62DE377aef3eC3a07,1740.53
0x0b086728F6590d9354CE35f9acC88F359a484363,8781.087
0x5977195626591D65f928cF28F9A8A01A9290eEB7,24233.79
0x09e6a264894beEfEaAB757196826f7C42B4B3f3f,13189.48
0x4e42Bd9e46444146C6Ae31Bc301F0Ab7CF623eE7,15544.42
0x9965C7cEA0Ff5F5E14Bae4A24283408496Ad61E5,13382.83
0xDbf04C4744954ba4058134DAAbd80c73895185D1,2175.689
0xd127104DAcA54bCb2cA3B0549E00774c63673194,1686.418
0xa19Db3b9D9291Baa63DC606183Ba4130EcBD8014,1686.418
0x8620F66D794aE4C00f2B89F35330E6c186Dd326A,1686.418
0xd02c22898273Cb499d5ECcC921114C359FE2c779,1686.418
0xaA538989D68DFF5EA683b4aE73c18a40ac83f741,1686.418
0xf978c2CbE1eD541419bba845121106334850cfd9,37760.75
0x5eb6eda80d2c451cb9Ae02B3CC14E1209c778771,1686.418
0xB219ACc305ffE7f7ae2024338D7054F1B3CBCE9F,1686.418
0x3ABA7f1A35EEd304C53afa44912c3AF06b01092e,1686.418
