Drop Name: HypeWave4
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x0c49b71eD5b87eaCf1a233062B34eC8fccd5a48a
Total Amount: 42869873.255711205
Start Date: 2022-05-02T23:00:00.000Z
End Date: 2023-05-03T22:59:59.999Z

address,amount
0x72c4cf740E322353a50ddd7fD0D1FFB149E3A65E,3709762.777
0x5Da9aC2b36FE8415Df9AC15E3fBeE99dE5dC000A,3192335.612
0x0dD094b897778a62E890Ca65d072c558b94ca515,1695053.885
0x57eff077A9cAa022371Cad16DCDF06516D1ee188,1176233.003
0x9380760410053c7a530522f9dBe85be4ba6dee85,674567.0307
0x9823D1608Dd094a7Fa88e08B6d5Bd29d09B0E86b,627815.725
0x2BDE3b9C0129be4689E245Ba689b9b0Ae4AC666D,589347.1791
0x215C22ab36103f1faABcd0b8dD4e0E7E642678EF,572114.6662
0xbdB67C68E09E0dB48A04dD410FdE577E192eacb5,563103.4994
0x0933F554312C7bcB86dF896c46A44AC2381383D1,554318.4313
0x807dc01d44407D3EfA0171F6De39076a27F20338,530897.5251
0x1BC64307e6DDC620635b862FD2051BE32Bbf26A3,496217.4935
0x542A313e799F4828d3dc2360e7a73bc76d7939Ed,492939.1879
0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,439955.853
0x7a2B82C0267ce3d4695Bf96061Ab84A9422701d2,426199.1654
0x796c1eAB5096e400317De1Bf2Bf250fBF665e9d2,404807.2832
0x9c52dC78bd84007bF63987806f0aeEece0ef14a6,384707.7779
0x5C43Bd66B33B9E9F45641e9dA824d403c4663859,353050.4476
0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,318566.0566
0x21B44B450B0bC1bf0bB2B906FFF1eE690A948654,290271.6752
0x54E7452428ba68a3445356b44a6E1C11b73Fe4b2,274573.9767
0xbee26f064a6448bdb377144253bC76AFC98195af,273678.9919
0xB267A6cc3c4eF82326b802CFA7093c4BE4C25C11,273066.5975
0xE9B6f1cf616DD478E9aa8117E4d57c1D4e3d64e6,269440.1194
0x911A6D66A2a60cEaFb894ceDf60Cd00042f6300d,248928.2677
0x3772bFaD95Ea1E9171eD9Ce4Da3e2E2F3BbD099b,245422.3231
0x8C7F8e274C0A22368EAB10fEd7608F7e7E5546ee,237404.6981
0xeB577275B16dF5977D0dB3a2E57E9dfE34F99119,231945.9623
0xdc1f57DB504495A979a64E71f9c62b626042e810,227037.0319
0xCBa32cbF637570604C8EA61d191C0665568056d4,213921.3748
0xfe828eE52F00e2E928Fbd6060eD9A0322fd886E7,213035.014
0x5CD9aF1813489B83bF2D97471d8d2AD26B1a9450,212063.1539
0x00a888a4cAc1a5a82029bff090AadDB98407303A,209890.9877
0x98265A1ff213DD8136E0Bf58c2c40cb47D2b8648,208943.8781
0x95DF823F29d5747C0Df79e85f8b9826cF7542D3f,202236.759
0x897b3929B6d77E3d2E0676258c12260F29885FD3,193865.3464
0xbc3A39B66dEe57C816e8D20fF0e55E418A71425f,183261.9633
0x1CBEA49cD004444eA511B23e999C05945C70Ee54,181329.7268
0x3448EB528F58a0505A246aD306CBAfDf2d8670BC,181077.6944
0x3f32433D7096E2c8c6A3dBe0f00cf6bC45d83E8F,173524.7798
0xb72def5D1a7439dc217a79460aDEfFdD29C9973B,166323.0171
0xF6BE5b79F2c702506dfb6F304974D25571E4a6aa,156342.5957
0xDE0ADA1a303517C3320E180601d14F135052e12C,155849.9297
0x9C86F161699b35f7CB5C8fD1F6346e788B0636B4,153316.923
0x6571499e9c56C60b92A62DAae9BE187D03D831f4,147997.8086
0xBE9b3933ECc52fBa404448fB02975825b0cd341E,145821.4754
0x3B43F2275160BbC5232d148b80C295d47Db60E74,141074.9814
0x82272C9FB9578c7669Cdbde8393c1e34C9bBaaf9,138612.822
0xc848b603a557bEf9dc9c3e8D9737691586b9e56B,137875.4506
0x562680a4dC50ed2f14d75BF31f494cfE0b8D10a1,137516.1394
0x2744016618Eee84cDF127968C26B9F4FFF0A9479,136997.4677
0xEb3F83c871abE0E5d4042976ab6C9F46aC3f6b07,136978.1114
0x3d7098bF88675F09Fb0c1c746dbe41aF2686387A,133490.177
0xae568cc9305aF46a92FD33381C4731ADF198ad4E,133176.4148
0xf2A8d44b673bbF7506525147478eDA096ac69AeE,132163.697
0x8Cd7D0113B278359Dd02B748Aa1c3a93c81ce24B,129702.2038
0xefc40E0b3873dc765bDcb1C4B04c6e946599eAB5,128119.5922
0xAC5cE0b37A0706C2FE3a05a1650A58A42919C270,127835.2771
0xbe5CE04cB94F2DB888693436f910cE5632fD6573,122686.9154
0xD87EaB6bF3E89d93cBc185E9aA601ABCc79e8d89,122384.2877
0x9Ee51cB52e8ddC6215458056347eBA35C25aFE0E,121928.1999
0x0D9C85B80BF60169902Bc947d1d3dDBF3Dea0BfE,120686.3047
0x585d7FB5C59ae1d1BEA3a03EFfB3D196cdbB7437,115996.2461
0x57f8fFf041E3Dcd3544A65fb76Ec492488f91d66,110397.5113
0x56DBAd2493cB2B9f57a107336a0E9bA2A628ACC0,109979.6237
0x366F9a702e9fC4BEC639fd267304EF6e8F7462fc,107930.7249
0x1CC9347dF80C6898F83819a048d1fFfb12Fb3749,107794.8332
0x1692ecD81FbAc9efC23F1BE1867D568fbe7eC809,106725.9147
0xcA7c767854B1E7305dE07247AB85E30543d1d9c9,105497.6441
0x7De75c4C65EC7F3026DEbf8f4588bfdD0ef98566,104000.3016
0x588031347BEaA0D43978bC8C0094138A67D1A071,103816.3311
0xBC58B83665739EBf7825855cf21af7b2A6Bd22b2,99275.01745
0x62810f139d083bC02dE422CC9c9f5e84eB94c8cb,97553.55633
0xdDE8fCb76e0796B6D2F2fFA450573f02BB32FF4c,97059.23327
0x166e32429bB6b1Cbe6816C1e9A63109Ac85553B8,96222.56852
0x950bACe3Ee65e3c1148a1A07395E04f91fD49d76,95332.69495
0xb2Cce013c761eB36b15C1Dd195a59b38E289241C,90967.69772
0x47890e03a263cc53D1689AB72ad02A187Cf1c4Cd,90699.04676
0xac0b629A3e7FEd0F55019A9dFeFf8f6504D92182,89977.18191
