Drop Name: Launch Challenge
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x2734f3A8e8c8038fC5b4B8A159f281B749Be6cBe
Total Amount: 1000000.0
Start Date: 2022-08-01T07:00:00.000Z
End Date: 2023-08-02T06:59:59.999Z

address,amount
0x09e6a264894beEfEaAB757196826f7C42B4B3f3f,200000
0x9f5f83e27B542814325C6a0BAd269454Bd36de7e,50000
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,50000
0x0368bEC04b11c47a6bB72D611282BB80E029C0c7,50000
0xEf0cbF716347E463b792574e16EE3EdE5fE789fc,100000
0xEA5c2136609e8f62c5e7E0f6DCe9266281Cd40E1,150000
0x82eb9824937566D772B9D123A518B4f67F6a35FE,100000
0x52A8d97577983706F91EcA67513a3412F155a166,100000
0x6087470D55109Fc34802A50a01982b9d0C0B8668,50000
0x6C6e25D636d4235CF732E686ffd46D01e312797F,50000
0xF6dBBd491E12239D4CccFee00b386Db1920f8579,50000
0x517D723148a33600F06d439C86d433028f6B31e9,50000
