Drop Name: May 22 Hype Drop
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x0c49b71eD5b87eaCf1a233062B34eC8fccd5a48a
Total Amount: 37499893.590000086
Start Date: 2022-06-02T23:00:00.000Z
End Date: 2023-06-03T22:59:59.999Z

address,amount
0x72c4cf740E322353a50ddd7fD0D1FFB149E3A65E,3006324.22
0x5Da9aC2b36FE8415Df9AC15E3fBeE99dE5dC000A,2599399.79
0x0dD094b897778a62E890Ca65d072c558b94ca515,1352191.28
0x9823D1608Dd094a7Fa88e08B6d5Bd29d09B0E86b,508353.47
0x6D90ab69ad831Ee4cdd11BE8e185B7843d1bD385,496342.76
0x9380760410053c7a530522f9dBe85be4ba6dee85,475132.18
0xbdB67C68E09E0dB48A04dD410FdE577E192eacb5,454385.20
0x4BF4e3a59add035c479CDE89d98103Cb65DCa941,436263.93
0x2BDE3b9C0129be4689E245Ba689b9b0Ae4AC666D,415107.47
0x1BC64307e6DDC620635b862FD2051BE32Bbf26A3,401325.17
0x542A313e799F4828d3dc2360e7a73bc76d7939Ed,396873.58
0x0933F554312C7bcB86dF896c46A44AC2381383D1,390434.92
0x807dc01d44407D3EfA0171F6De39076a27F20338,373938.38
0x5aD5d14fD858a729736Aad114A25f89319F9A2d8,368283.78
0xbe5CE04cB94F2DB888693436f910cE5632fD6573,356349.14
0xD87EaB6bF3E89d93cBc185E9aA601ABCc79e8d89,355470.14
0x796c1eAB5096e400317De1Bf2Bf250fBF665e9d2,345701.21
0x7a2B82C0267ce3d4695Bf96061Ab84A9422701d2,345473.37
0x57eff077A9cAa022371Cad16DCDF06516D1ee188,316657.25
0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,309883.49
0x9c52dC78bd84007bF63987806f0aeEece0ef14a6,301363.81
0xa0c1FA3744C79BB662F77ac621a6adbe7F682232,291316.71
0x5C43Bd66B33B9E9F45641e9dA824d403c4663859,289413.47
0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,258499.37
0xcdA2A0C1A26A12f7Cd55a8Ec1C45a5e661721bb6,242341.78
0x21B44B450B0bC1bf0bB2B906FFF1eE690A948654,233319.81
0xbee26f064a6448bdb377144253bC76AFC98195af,222368.21
0xE9B6f1cf616DD478E9aa8117E4d57c1D4e3d64e6,218924.73
0xa63D1d1CA799E34E2395a405414bD622D4C039b7,206682.50
0x3772bFaD95Ea1E9171eD9Ce4Da3e2E2F3BbD099b,201853.18
