Drop Name: Partners Cult Correc
Token Address: 0xe73200FfB8ba740A40E208Ea842512E17427bFcc
Dropper Address: 0x2734f3A8e8c8038fC5b4B8A159f281B749Be6cBe
Total Amount: 6190620.0
Start Date: 2022-06-27T07:00:00.000Z
End Date: 2023-06-28T06:59:59.999Z

address,amount
0x6043FE9dcC89Bc179Bc0C942c0b6732f7BC31326,867876
0xc0DEAF6bD3F0c6574a6a625EF2F22f62A5150EAB,867876
0xfDaaE0c5a7A56C8265b9f86cF8cd934A494E3733,867876
0x1619d0bbae4a31627847aEa0A08eC79eBA274314,867876
0x68c10776C5c05Cbf5B4C2318bE02D61B9f06B875,867876
0xfA53D837B5dDd616007F91487F041d27edb683A0,867876
0x5571c141ab684CD4F6E7c0b631C77a4Ef069f6A5,867876
0x8496D042a44abF31Ee457E212d5E6a911A95a8aA,14488
0x21b98f5698FD33d9cB58f6aB8d5ec58E803FCba2,5000
0x522d634b6BFfb444FdbCdE5932738995A4cfd1F1,5000
0xC579B72fe7986b64A84948f8A41c4BEe396835b5,5000
0x5a32FFfF13a211D44d6194b3E87Ec8b6a9Acb712,1000
0x6C6e25D636d4235CF732E686ffd46D01e312797F,10000
0xcD379DfFf70c1Aae50A000CD6169DcF1B02D2757,10000
0x8062E69aF89430d0749697ceDE9614Cda80325e0,10000
0x4F4EF0f53F85A2Bd7b0622a64C9783e94fB1042c,5000
0xED12D70AD87b64dCAE62953A8d69C743A12716c5,5000
0x69e8E7228dC1205fa424999Aa4ff2389C088ADFf,5000
0xF3C0c9755cf66fB220D1c4E99529bAB471b65836,5000
0xd821733cB903e40F4b045b1a5F9741828bc3F7B3,5000
0x2e509b31cd803C4e018D5DBF74999c05515b0F64,5000
0x68a63F9445Bd5012232E1D8fa17d9E8121baCCCC,5000
0x863Fe5B3CB1714e5C7ACc8De1646d33D1421E112,5000
0x75e7c0E3698bA64c3385A12ce8e573854511B7ff,5000
0xD728489711d19410320617CbBd97da8F10831ddd,5000
0xe134d2736d966629Df690945798Bc7a7C0611AdC,5000
