Drop Name: Cryptonaut Shirt Pay
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 58000.0
Start Date: 2022-06-28T14:00:00.000Z
End Date: 2022-12-29T12:59:59.999Z

address,amount
0x2c59900B9442b7A865F93219c04f553a0D7BD003,6000
0xB4dfEBE28B632a6364429367d301A66ef635889A,4000
0xEeCDe6c82eb1D427509c561a59F940698804D70e,2000
0x55E7750e818cA488e1A866805b2B474632D534E0,2000
0xED276120932ac59d3Aa895D923f0e91109721B70,2000
0x770853A5Cb23211F9Aa8cf23FFae891A5e8BCeC3,2000
0xe709eFE4d5d78a9d41A611E2e404a879Ed9524BF,2000
0x4F0dA995496B7d6F55f3298bb5aad98904e6D0bb,4000
0xb08A71CE5Bf10cDfF178beed009CA8919c6A2EB7,2000
0x8496D042a44abF31Ee457E212d5E6a911A95a8aA,2000
0x4f0fd6f8657F0286B25bB7a420789B90Ae0aC0DE,4000
0x7404ee3F9f7DE2c798ca5c8af3FEC851b0b53f9E,2000
0xb06A2b9E6ECB9636b72Ac5242521937BD7baF60F,4000
0xdB2fF96e3dB0CAeaDa38323Ea3A830349a794C07,4000
0x70d0c25CB955Bc6E33c08aCF171e3Dbb2a6401D0,2000
0x1abBa4eDE1B9281E62d7BdF069c790cf9b44701F,2000
0xB1EC0568F061725D958E15F6488Fb070f45af9be,2000
0x9aE82229ED6B302Ebec03d0DA6c14431F110B3b2,2000
0x60320CD47148Cb893634a17A99477fE6A89b73F1,2000
0x3D0Ec0ADbe7c22EE54F1221F5b023471a1c86E51,2000
0x9Ef61B072c97B5e0bd120D84AC9Dff75aD099290,2000
0xC0A8D7c093ECeFd6F4AEbE97172731c6A5d5FFf6,2000
