Drop Name: Cryptonaut ShirtPay2
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 54000.0
Start Date: 2022-07-06T14:00:00.000Z
End Date: 2022-12-31T12:59:59.999Z

address,amount
0xa63D1d1CA799E34E2395a405414bD622D4C039b7,8000
0x4BF4e3a59add035c479CDE89d98103Cb65DCa941,16000
0xa6E0181ed17Af255D882d07B693e33C113F89Bf2,2000
0x0BC3d3b6AB0Ff696909eF63E6D89AFe09c3EFf7f,2000
0x5aD5d14fD858a729736Aad114A25f89319F9A2d8,4000
0xbbA06256D6b676EaC77fFEA3249b31C5C43B64BD,2000
0x4AB68c28Bd8FC35c164D72Ba6E3199B3C1aB6a97,2000
0x11231f7Dc863F36A6516Eb4EF052f195000e0000,2000
0xAb47e1ce605580c42A1b1eCa12831b17A18ea282,2000
0x2231E35dAE9F0c33141c9EAb05B1C1bc4Fb1df36,4000
0xcb15CdadD6b7124242Ddde3Ecd0E07FB0FB47519,2000
0x4f0fd6f8657F0286B25bB7a420789B90Ae0aC0DE,4000
0x1EfA0d654D2CeAf84e14c60B3971f572bA169253,2000
0x62365E0af7b6A188D063825AFa3399Ba0b5AA7Cd,2000
