Drop Name: Flash Distribution
Token Address: 0xB1f1F47061A7Be15C69f378CB3f69423bD58F2F8
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 24418496.580000035
Start Date: 2022-07-31T23:00:00.000Z
End Date: 2023-08-01T22:59:59.999Z

address,amount
0x3803B6F9Bbf032c2299cEC3ac5F527424e3639bc,226.62
0x7407Ca3dEf8bdA3239Fc7069863c54F2cc2c80BD,1037473
0x254242457f3F61D9050e451A61a107eA92D5E2b1,839922.93
0xBE4c3B530b92157811eF87f53123753A9CF0012c,699711.99
0xd58270A79cCC81cAA39bCc5bfF72B485d7956Aea,627397.82
0xd0f50C0431b76FA58Aeefdd68617acb4E0628051,461931.68
0x7DC0A282fcc494ef0Ea59cBA06F8709c04c1aEe5,461348.66
0x77342CdC64678dF4261b273Ad29da9e3C000dECB,450100
0x4C8475548D821E2E4d7F2e3bD2d83a32fFF8131A,426778.72
0x54E7452428ba68a3445356b44a6E1C11b73Fe4b2,425213.18
0xfe828eE52F00e2E928Fbd6060eD9A0322fd886E7,417877.05
0x796c1eAB5096e400317De1Bf2Bf250fBF665e9d2,375067.28
0xE2E8fEe9ac2aF4352a0e424650B77da25C36bf80,288867.98
0xcd0eb48851856f64B7c3e0644C08c252876e6B05,284506.97
0xB267A6cc3c4eF82326b802CFA7093c4BE4C25C11,266371.16
0x7F36Ed45831bC34E38fD27145B6F983856FCB0dD,243898.79
0x7969509b59E2A09c69017251b4b345bd466141AD,232160.28
0xa92697C3975996335B7e09d0aFA30aB4ee912F7A,213297.95
0x4658FF36Ee90620646bb25A7ECdF0450d5FC8eF8,202294.92
0x09ea768029069EEB979015a64f261e7789E5E450,195000
0x8C7F8e274C0A22368EAB10fEd7608F7e7E5546ee,194297.02
0xc848b603a557bEf9dc9c3e8D9737691586b9e56B,174751.07
0x256aA47E44b09f0BcCc53a616F4B778436c38ee8,166917.46
0x5004b9E9094Ca2E193bfECc9e3792A8Ff0AdF807,164140.73
0x3A1416064E51e27e83E30bd6877Ad301182E35F4,160001
0xe30dfD4c4d7e6b9A43C634826ebc89c137EE116b,154125.5
0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,152456.56
0xFf6992fDa98A9452E2EB0487e17533f428BE6bDC,150100
0x5A62d1F022C7902dF9dE973A526a8Cc13D8eDd50,149133.3
0xb2Cce013c761eB36b15C1Dd195a59b38E289241C,140853
0xac0b629A3e7FEd0F55019A9dFeFf8f6504D92182,139320.75
0x542A313e799F4828d3dc2360e7a73bc76d7939Ed,138381.99
0xa39e8001a245d14bF4aC5393791C67f652FF83fa,135979.94
0x0dD094b897778a62E890Ca65d072c558b94ca515,132805.19
0xf1A7b8b3d6A69C30883b2a3fB023593d9bB4C81E,130356.74
0xAaF1eb836c73fE48fE67150bd5Eb412Deb39De23,125464.25
0x72c4cf740E322353a50ddd7fD0D1FFB149E3A65E,125330.14
0x9416e3cdB99C78126a51d74834846cCB69F2edd9,121163.37
0xc210d81Be9c8eBdd203A8C98ebe9cb5E2231C603,120066.26
0x272531364977b28fB9E1a2057560765D879d93D3,119033
0x7792110192c2343d53A2Fd32f9BEf54fabA6600f,118011.08
0x366F9a702e9fC4BEC639fd267304EF6e8F7462fc,112605.35
0xAd35A43bE3206bfE3e54B1c9273112Df9DF91947,111747.23
0xD724107AE1047b50B543aD4D940deE18e99261f1,109067.88
0x95551cf63f5794287AB2aB4ffdb3b07b3Df31702,105321.01
0xD0dECDe9D562c7eF2826ADADf126949Aa0645c3a,95313.69
0x8BE25FBf34A9eE21A565dD708a1131d7EE019A66,94122.82
0x9C86F161699b35f7CB5C8fD1F6346e788B0636B4,93080.6
0x7075191e9054c8B7460Fc3e761f9D0A499a688D3,92598.96
0xbdB67C68E09E0dB48A04dD410FdE577E192eacb5,91862.17
0x9823D1608Dd094a7Fa88e08B6d5Bd29d09B0E86b,90394.49
0xd87E74b8c93a87FD633F184c66b2794EB4A61E80,84858.97
0x02d6FF4516a81b4F425A7063Df670b33F4C62918,84374.28
0x99878C105D7ceE8465fbe23b105A0c2E1C29D688,79803.72
0x810e65132C5Ba12AB2874E4d05299046aBe0556b,79193.97
0xd7FE6F89e00251CD3eeb2f592DdF400560fe0651,78281.34
0xd63d406180ea3b47f98422bf5Fad902fe6ccFbEC,75855.4
0x5596D991Bf7753F0f14e1C5B59AbBEA626725401,73132.12
0x00b8cf5347b1d716aF821dF508f0C6a9037a367A,71219.33
0x0fBa30051661Fa66368Ce93b2D997f6698C1da43,70224.67
0x5BfcE71a1909b4525156290A8Fa61Af0f723aB4b,70065
0x6cc8dCbCA746a6E4Fdefb98E1d0DF903b107fd21,69630.43
0x57eff077A9cAa022371Cad16DCDF06516D1ee188,68772.61
0x6BAa6E8d3E29cB7ef2F78701E29a5CbE53cF9EF7,67688.42
0xf0e6F7B1A9E917cdd76981b20265719c0B96875C,67123.94
0xd406C013B7419158ca68617ecf7d3E3F40800C13,66432.63
0x887C3599c4826F7b3cDe82003b894430F27d5b92,63823.79
0x2E0F34335f8636E3AcfD0400E8127c025E221EE9,63591
0x07861CB633Ad87604B35a57C64b5dE278A8275aA,62834.55
0x85a33A536Bb3D9479EA6FBD844ef1e14D8403BDA,62640.22
