Drop Name: Flash TeamAllocation
Token Address: 0xB1f1F47061A7Be15C69f378CB3f69423bD58F2F8
Dropper Address: 0x8603FfE7B00CCd759f28aBfE448454A24cFba581
Total Amount: 7874999.969999999
Start Date: 2022-08-31T23:00:00.000Z
End Date: 2023-09-01T22:59:59.999Z

address,amount
0x6e099CC1BC9166B8DAa3866Cd2aBa5fE2D8bEA5d,1777246.54
0x263397A2559b0BD4E0eF2c7D4195a53F0ca58b9E,1777246.54
0x11231f7Dc863F36A6516Eb4EF052f195000e0000,1197657.33
0x9D2Ad4b0b8226CdC91493bB83dA3d14167fA3f9C,889962.02
0x610da4675B5CD76db49108Db0c4b71060Ac29bce,588566.71
0xBBD35eb9119B66B9D4Eb98C65048d627039570C5,376837.81
0x76F01069246e038BC57Ff6290C6dB4Be82163e3c,249003.18
0xD9981d70D79581e11a32f1d0F6e75aAf9d0f3EC1,230575.68
0x87c3155e99e2De012A320a4a2855D1D2B1Ec3B2C,159334.62
0xD47F95369fC2eA5b1394B0b37c24AC7392E99feF,159334.62
0xcCbAb37CDD21A6C78Bd84aa5D75e8A7B8DcA6927,171777.12
0x95AA36C479983C74DBf1bE6893a8ACE5b7E748e6,112557.12
0x897b3929B6d77E3d2E0676258c12260F29885FD3,89511.06
0xE73C98667C82bb76E58c0d9B065B6A0C9ea2d088,95389.62
