Drop Name: FlashTier2
Token Address: 0xB1f1F47061A7Be15C69f378CB3f69423bD58F2F8
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 1676196.1800000004
Start Date: 2022-07-31T23:00:00.000Z
End Date: 2023-08-01T22:59:59.999Z

address,amount
0xa63D1d1CA799E34E2395a405414bD622D4C039b7,10033.36
0x5118b354FaB01ABb44585Cd5A979231Bca138099,351027.04
0x5aD5d14fD858a729736Aad114A25f89319F9A2d8,247211.59
0x4f0fd6f8657F0286B25bB7a420789B90Ae0aC0DE,209545.22
0xAb47e1ce605580c42A1b1eCa12831b17A18ea282,163320.3
0xb06A2b9E6ECB9636b72Ac5242521937BD7baF60F,75925.74
0xA56Cf848b33637Ac3B6E5124EFB119D5CF636484,72344.6
0x70d0c25CB955Bc6E33c08aCF171e3Dbb2a6401D0,67392.5
0x1EfA0d654D2CeAf84e14c60B3971f572bA169253,59687.39
0xc02427f0B937F9905C47dDCC661374E0A49C8F03,51657.8
0x3D0Ec0ADbe7c22EE54F1221F5b023471a1c86E51,50714.67
0x87c3155e99e2De012A320a4a2855D1D2B1Ec3B2C,49801.74
0x9Ef61B072c97B5e0bd120D84AC9Dff75aD099290,39683.17
0xa0c1FA3744C79BB662F77ac621a6adbe7F682232,34819.83
0x2231E35dAE9F0c33141c9EAb05B1C1bc4Fb1df36,29106.03
0xC0A8D7c093ECeFd6F4AEbE97172731c6A5d5FFf6,21472.71
0xf1E4D44C598F8e679B2D6aAbDc2F13571dfc5a47,16720.82
0x450B54732D34e6EEDF4301294bc99CBCB8d1A3cb,9682.33
0x8496D042a44abF31Ee457E212d5E6a911A95a8aA,5783.66
0xdB2fF96e3dB0CAeaDa38323Ea3A830349a794C07,4571.61
0x536299a4fCF0d1d492596C2C816fc20F3F7Ec557,4514.36
0x8D5D62099f937fb31e5f5078838836B3Dc14Eb24,3762.43
0x0BC3d3b6AB0Ff696909eF63E6D89AFe09c3EFf7f,3356.6
0x11231f7Dc863F36A6516Eb4EF052f195000e0000,3091.64
0xE1269C202692f84e64bb7383Fa2b8a9093e73380,2909.5
0xa6E0181ed17Af255D882d07B693e33C113F89Bf2,2403.84
0x4e6E412490D11295d450d753d666661Ce2974bc2,2194.56
0x55E7750e818cA488e1A866805b2B474632D534E0,2166.93
0xeeB0ce30A0050Ab27BE04D9f4D6DC1f98f1A9314,2117.1
0x62365E0af7b6A188D063825AFa3399Ba0b5AA7Cd,1386.86
0x4F0dA995496B7d6F55f3298bb5aad98904e6D0bb,1226.21
0x2E3BDaAFa046A355a947d7dd50D8DAE34c0D0b44,1193.25
0xf662972FF1a9D77DcdfBa640c1D01Fa9d6E4Fb73,1173.7
0x229ece3Db7a39127D71Ad33e43a2d6bdd9042c8B,1157.2
0x9De01C10e55e5f9492d0AD5E4A05f0a6077D5F14,1157.2
0x8C05D284f9Bc857f4F1E9509B20990F7C6Ae9215,1130.22
0xbaF71364Ed94aB4BeaF8774f3023979c9ca94Cb0,1048.97
0xcF277A7B75f08f97ED5a9913D4fDd3550bF9C51e,967.2
0xbe5e2A0B9a260B17Ba6b7a2Ad5942D1DC1Daec62,805.89
0xe709eFE4d5d78a9d41A611E2e404a879Ed9524BF,805.53
0x33192EAF21bE9df5442C45f26A9cf8601b45310e,705.16
0x9aE82229ED6B302Ebec03d0DA6c14431F110B3b2,702.65
0x60320CD47148Cb893634a17A99477fE6A89b73F1,680.7
0x1abBa4eDE1B9281E62d7BdF069c790cf9b44701F,659.73
0x6038A66e99f34874A1cD3A29D5Cb80d9822D09B7,647.62
0x4350DCc74692d3FECd396CA61153C151746c7248,644.63
0xdca7c33a8f2b1f3db9613E9BED094760c33d88D6,639.13
0x7404ee3F9f7DE2c798ca5c8af3FEC851b0b53f9E,628.12
0xb08A71CE5Bf10cDfF178beed009CA8919c6A2EB7,617.12
0x5851134ff13095542e0fDBC91244d7308b1196C3,600.61
0xED276120932ac59d3Aa895D923f0e91109721B70,598.99
0x280A8675cF1d930c638F4f9Eb9dbe75823801D5a,586.63
0xB1EC0568F061725D958E15F6488Fb070f45af9be,581.84
0x25fdC78dcD2e199f9dBed3113843679d14Eb9ab9,578.6
0x4AB68c28Bd8FC35c164D72Ba6E3199B3C1aB6a97,578.6
0xcb15CdadD6b7124242Ddde3Ecd0E07FB0FB47519,578.6
0xe502d877eC5e7bAf8A652CaB7b5aD7b8C8A97cC1,578.6
0xe7B9F9f73c414807f311496FD5F266d0F406Ec54,578.6
0xfb0cEB0E881B44004DB236A443358912955C1e04,389.86
0x4a2705315e563A670a3003AC5c36EBe233e83d7B,81.67
0x416535372f3037606f0c001A3a3289EE5EF32A3E,55467.42
