Drop Name: FlashTier3
Token Address: 0xB1f1F47061A7Be15C69f378CB3f69423bD58F2F8
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 672006.9399999996
Start Date: 2022-07-31T23:00:00.000Z
End Date: 2023-08-01T22:59:59.999Z

address,amount
0x6D90ab69ad831Ee4cdd11BE8e185B7843d1bD385,173500.71
0xae568cc9305aF46a92FD33381C4731ADF198ad4E,133681.21
0xdA5b9c259eD8CD691EEac28206930fBBaf8a9574,52272.74
0x8fb186b94756f5658D16dF90ABCE4B84bceeA31e,36380.59
0xF8E6eA3593c17738151eC0Ed760Dc160Fe765b95,24195.87
0x1692ecD81FbAc9efC23F1BE1867D568fbe7eC809,22487.18
0x4e42Bd9e46444146C6Ae31Bc301F0Ab7CF623eE7,20196.34
0xcdA2A0C1A26A12f7Cd55a8Ec1C45a5e661721bb6,18976.96
0x041b383273771cDA45a2A6BbdD4CDEbf52125545,17731.33
0x6f1f0597b0638A560D0b849D02bC2D4A9677fcb2,17575.21
0x522aD4Cf5Efe083c28454D827C478548fD622f9d,15039.85
0x9FC77b38EcBd1fDa95DB75356bBA0933d28C9a4a,12884.99
0x6994e8297F41E4d53Fd2496ba47aE347a1f512C9,12279.97
0xF14BFd18A05D05f7390dAd79170D8ce24C034e23,10720.3
0x09e6a264894beEfEaAB757196826f7C42B4B3f3f,9986.06
0x04eE14d114aa35789cfc345A7Ec1B2dFedC2b149,9894.64
0xa73b837f5cD40bd84aca5aaBFA663D2aC23F2A55,9840.87
0xfdb4175aeC84582715EEEF12Ef3E84BbeA9419e2,9822.54
0xf978c2CbE1eD541419bba845121106334850cfd9,9580.95
0xf2D4C61b8633c96E879e5AEEe795ed5eE2af734a,9141.07
0x5977195626591D65f928cF28F9A8A01A9290eEB7,6562.18
0xd8366F75a0F754838192CCf71d1A6492F35eaF87,5138.08
0x83CC5e14E75b3AFCFbbB38521e60cb12Cb7EF584,3052.9
0x0ccab1CFA3aD09170321B9347febfC58b65B686B,2648.16
0x83d627652fE291d83fdde5Fe6a96cf219CCC7701,2198.34
0x4be026f1546bD067f45336398906f60d271c72cD,2109.14
0x0d66715F2BB956c845f265f62DE377aef3eC3a07,2027.26
0x9965C7cEA0Ff5F5E14Bae4A24283408496Ad61E5,2024.18
0x2e5d3099DFC4d40aC5348213e7418B44C3051ed8,1890.07
0x68d5CC93314fEa91f8c8c10CfDd5F1A7EfDf78cB,1410.91
0xF38b740359D0a7eE22580C91E10083BB1A4988C7,1391.15
0xB63511aE4c07492aCb6D3675568687821607Ee00,1275.12
0x93eF147898FcFCa095d0B07Bb8A7e6Cf0Ed15c64,1016.13
0x3D0Ab5B61C9da0db0D2b0346019AadA5397de8CD,817.71
