Drop Name: Testnet Rewards
Token Address: 0xB1f1F47061A7Be15C69f378CB3f69423bD58F2F8
Dropper Address: 0x8603FfE7B00CCd759f28aBfE448454A24cFba581
Total Amount: 36405.0
Start Date: 2022-08-07T23:00:00.000Z
End Date: 2023-08-08T22:59:59.999Z

address,amount
0xAb47e1ce605580c42A1b1eCa12831b17A18ea282,3465
0x52be4309BA5647905Dd1AB7845BC2452D9777b9A,2955
0xFd759ce9E79C5A4ffD7ff1D7E372f2C2A8b9b2C4,2820
0x6E7033445d06cC0Bbc9Ce2A6532B84e0D62E478e,2775
0x182b2f7Ef15aa930dB0F2bf3ee6F81d57Bee5B3A,1500
0x46c6bCAb60fd4749eCAa31aee026a81f7b3EC93c,1485
0xe494d61977561d6be41590FbF940091bAE6d392e,900
0x3C33c8b2399Dc44499414F3f3838baAb92EaB53D,900
0x1414230af4933dD25658ef470872E1fCC645EFE3,900
0x7026876DB37e16FD7BC515f210Ae3e9590d8e866,750
0x65145858Dca83B0BD4c6C58c6EafcECa608F3A4f,555
0xEaAD7f273605C3A7d27A20C41Cc4829b0c14CD9B,525
0xDa3801760dEe231556f0395233550C80e94be141,525
0x68904F03b3A3EB0F386733960EE25439fbA83A16,525
0xF46084628BAd0404bc940c55A2A206C60d446292,495
0x27d73BeAf8b10a1fC11b031eB4951F7DEfCB9F7F,480
0x353807396Aa42b7FEa5A98d1Da7CEBCDD6e0406a,450
0x0434480ec85397a39eE3ae8e0290aB93B28147d0,450
0xDBdF965BA2Ff4D6B1145EB3151708d2F8fd74281,375
0xB3072E6745c3D812fB91a0A57B8533e566af661E,375
0xa8A74888Eb6A51b8502060473809a7D0aDF6CC37,375
0x739608e0355686f66DF8C8D456e99F73fcE7A890,375
0x5F9a37E18307884fDd811a7cFe4C30D7F9E03C4E,375
0x5F5186878dDdb2C0Ecde49CC15aa2F62Ea756ec5,375
0x52896709f1A7C36E8c288265911DCB7eD1732781,375
0x4A373b5702963000C520D52579508139eC676A25,375
0x32Cee15D7b77f25b2D51699297da94de828AE537,375
0xcb74D99e9B79D3cF003d94225c1e94Df5bd6D246,300
0xB7c69DCa2A6F641AE1a7cfF30F708AF178235129,300
0x9A47f7c20f9d677d7c6998Bc1A9A6059D3800DF4,300
0x7EcE4f0b6F2266072b473B130FA4214f6b8CFA08,300
0x5a94676A62BAb25B3a96571B6DE5effe8F46f64b,300
0x54E8a142a4638168b765f14f361ff11A5f9BbA4D,300
0x52530645313df7961d624B8233A5321f052c8bCE,300
0x36FD93Df56F0b7eFb614aec9794C64BCb6f23f6B,300
0x3215655b71d9209942FD6da6BfcdAE4d3B843dDC,300
0xfED8820A318816dcad3dDCc8955AeF5a216E61fB,150
0xfcDdc2FEca01cF0bD00622febB927544C35De559,150
0xfA3E5AaBF37274ef16eF27A50f7Aaa82f1Fc2Fe8,150
0xF09935846B3a15A1A4bEab1d774bB4a0F1f7cc9B,150
0xEFB4eCBB09439C37011015d6D2Ff2C3109d4D785,150
0xee039A533DC3326e4e6B18733eD19f99Cc4D65F2,150
0xEC8262d6E555D7282015F7E68696c84A6A09521C,150
0xE06Ef94E009c48Ed1C0F468C8D77a0B1271f082e,150
0xDCc50fe71f29EE73Eab4b5025006510cE1C91395,150
0xd726251d8378CBEf3225B81a2BF122f602e51a36,150
0xd2D107c141114322517eF891ff3709D4Cd154AAe,150
0xC91c8D667a713D39281A19D6EE835660b6A3bF3C,150
0xc4C89e9f695E453ecc44A8e6eD61e55fc4C99a9e,150
0xC362ab733Fa72Cd1DcDfC34F49E2D150B3474888,150
0xC1D8fC1AD7eD8D317B31cbdc676886bce31310aF,150
0xbd9bEa7Dc498Ccc31b8Df0eC14bc51447e14B86E,150
0xb17D23C7dB93880E09dD3954e7591cbdFdf0e1f7,150
0xA58234E119760324cDd0CF5873d81053f6799728,150
0x0C3b6CE9C63567fcD0069388856E778885266E3e,150
0x9df748402D730F20627BfBBB19aEAc50CEF65D92,150
0x9975F03711880f9d79Bb853AFCF0B3296f1eD18A,150
0x97c7F1145316f01c1D44373dA38f5638F8B23098,150
0x963E5578CD1D9a7cCF137652b2bB54DEe5FDec6c,150
0x8803B0F43FEeDAD7D956D82895Ee2C201Cc34B72,150
0x83C2E1794Cf4a8F207Ff60eE11293840AE01f943,150
0x830C34721c2c14A086Fe3C4EF144812CB29819Af,150
0x81e4604059A9150098AE46C4b933223BD58930b5,150
0x75B3B0E83Ca2580560F2a684E844a09C416E8bB3,150
0x72A7b1cF52e67fAC8c32e49f59c20367A6A398c3,150
0x6ed231e733CE35A916b99bbf29d2Bb568e948772,150
0x6DEa879e2EEBf245ce11e8b24ECFFD197d206AaD,150
0x6De889317D4EAe3c60F7780F1bB5A27B16257ba1,150
0x69d62f6924E606640fEa75657457c21aF8Aca908,150
0x65dd8EcD6acD6A1ab8093d56c2436deBA275AD57,150
0x60c0bdFEfE8E55ABF23bDc30f9c5f2a1379950E1,150
0x59DA5791f0F062a91B616265c5e379Bf0De164df,150
0x573Dcddb220298fF782FEb91a923Fc65c7097a99,150
0x55C827FF1393409FfB0B7077e6B565E012E0A2D2,150
0x506de8404d14e8AD77E8577A9dA2e53329903188,150
0x4906919400Bb339132dC7e50472Cf228ADCf4a71,150
0x45887C1b99B03809ed85A5F197078af895e4dEb5,150
0x3EEb1D1112F3180c0a52f182a53AE1b650798606,150
0x3C9E637BA2F4111F598Bf3f03194Ce3fFa443E4d,150
0x38F16E400856C61D28DA7Da7cB59A1581b29F524,150
0x2c313650C70a302e8aE3939b8515Fa5E04C0ad1a,150
0x25cbbc5E1bcBB0fC7Ebb198A28AC6E267f90589a,150
0x24B6C3FFC3A93e3159c7531a8438b2684696F852,150
0x1ad3F501Fb881d77fC6FCD2389af2c424BF2833C,150
0x0D53a2b067234f7E3E45b1ae926D4C60AA3375F2,150
0x0C2a26ad86ac8fB4114E82FA0497A6f0b0bc1AFf,150
0xEb01fF124D71b6C7E6613fd6E0A86c28C733F008,75
0xE2027B05D620c0109e2d8e751A10A2aAda3e490A,75
0xDC7Eb5De89631E2AFf5f63Ea2Ac2D63F4b4395B3,75
0xc4B52Cc72D5785E418b6F24A56DF1b3f67674474,75
0xae4687db82D727fe59d965F58BF78132FB8ac88e,75
