Drop Name: XIO Distro
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 406028.0
Start Date: 2022-02-20T13:00:00.000Z
End Date: 2023-02-21T12:59:59.999Z

address,amount
0x5Da9aC2b36FE8415Df9AC15E3fBeE99dE5dC000A,60000
0xbee26f064a6448bdb377144253bC76AFC98195af,30000
0x57eff077A9cAa022371Cad16DCDF06516D1ee188,21430
0x4BF4e3a59add035c479CDE89d98103Cb65DCa941,16500
0x0dD094b897778a62E890Ca65d072c558b94ca515,14388
0x6D90ab69ad831Ee4cdd11BE8e185B7843d1bD385,10646
0x00b8cf5347b1d716aF821dF508f0C6a9037a367A,9389
0xfb96a88D4a780593722a8dcD54972a8Ea84dC23D,9179
0x215C22ab36103f1faABcd0b8dD4e0E7E642678EF,8403
0xf1A7b8b3d6A69C30883b2a3fB023593d9bB4C81E,7980
0x1BC64307e6DDC620635b862FD2051BE32Bbf26A3,7500
0x5aD5d14fD858a729736Aad114A25f89319F9A2d8,7396
0x542A313e799F4828d3dc2360e7a73bc76d7939Ed,7031
0xa0c1FA3744C79BB662F77ac621a6adbe7F682232,6142
0xcdA2A0C1A26A12f7Cd55a8Ec1C45a5e661721bb6,6000
0x9823D1608Dd094a7Fa88e08B6d5Bd29d09B0E86b,5413
0x7a2B82C0267ce3d4695Bf96061Ab84A9422701d2,5020
0xdc1f57DB504495A979a64E71f9c62b626042e810,3979
0x5C43Bd66B33B9E9F45641e9dA824d403c4663859,3756
0x5CD9aF1813489B83bF2D97471d8d2AD26B1a9450,3750
0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,3359
0x95DF823F29d5747C0Df79e85f8b9826cF7542D3f,3113
0x3772bFaD95Ea1E9171eD9Ce4Da3e2E2F3BbD099b,3066
0x21B44B450B0bC1bf0bB2B906FFF1eE690A948654,3418
0xDE0ADA1a303517C3320E180601d14F135052e12C,2863
0x98265A1ff213DD8136E0Bf58c2c40cb47D2b8648,2679
0x3D0Ec0ADbe7c22EE54F1221F5b023471a1c86E51,2591
0x1CBEA49cD004444eA511B23e999C05945C70Ee54,2270
0x82272C9FB9578c7669Cdbde8393c1e34C9bBaaf9,2245
0xf2A8d44b673bbF7506525147478eDA096ac69AeE,2199
0x585d7FB5C59ae1d1BEA3a03EFfB3D196cdbB7437,2160
0x994323b9B07855F7B0a7aDaefCc54498573B2282,2087
0x00a888a4cAc1a5a82029bff090AadDB98407303A,2071
0x1692ecD81FbAc9efC23F1BE1867D568fbe7eC809,2025
0xF6BE5b79F2c702506dfb6F304974D25571E4a6aa,1892
0x25bFB4440eaBe6316568c1037Ca15DE16A3B55d0,1881
0x911A6D66A2a60cEaFb894ceDf60Cd00042f6300d,1780
0x950bACe3Ee65e3c1148a1A07395E04f91fD49d76,1768
0x0fBa30051661Fa66368Ce93b2D997f6698C1da43,1662
0xbc3A39B66dEe57C816e8D20fF0e55E418A71425f,1638
0x56DBAd2493cB2B9f57a107336a0E9bA2A628ACC0,1589
0xAC5cE0b37A0706C2FE3a05a1650A58A42919C270,1575
0x0e34278c0DfE77AF486Dc2791bdF47307819Bf04,1543
0x205259fef46B84845e335aE7fE936aC01967a740,1500
0xae568cc9305aF46a92FD33381C4731ADF198ad4E,1500
0xAb47e1ce605580c42A1b1eCa12831b17A18ea282,1500
0x364f71B08Ae1B8Aa99Fc4fE648F9c161632c1470,1485
0x0D9C85B80BF60169902Bc947d1d3dDBF3Dea0BfE,1367
0x6571499e9c56C60b92A62DAae9BE187D03D831f4,1338
0xE9B6f1cf616DD478E9aa8117E4d57c1D4e3d64e6,1337
0x1CC9347dF80C6898F83819a048d1fFfb12Fb3749,1333
0xdDE8fCb76e0796B6D2F2fFA450573f02BB32FF4c,1301
0x588031347BEaA0D43978bC8C0094138A67D1A071,1291
0xEb3F83c871abE0E5d4042976ab6C9F46aC3f6b07,1289
0x102cc1D37A6b4F259a61d136C54575d40DAa7E42,1272
0xBC58B83665739EBf7825855cf21af7b2A6Bd22b2,1244
0x1190d9a6f624836B4c0f8864b5Adc969C54ae746,1222
0x57f8fFf041E3Dcd3544A65fb76Ec492488f91d66,1215
0x04eE14d114aa35789cfc345A7Ec1B2dFedC2b149,1170
0x52106E12BA2984549823CC88922B0886bA5c0180,1161
0xb72def5D1a7439dc217a79460aDEfFdD29C9973B,1136
0xFF48e7eF46095FD4a459820E142dbf82E0E17940,1125
0xE65B51245F9819d4A60762a023DCD4e3800C5Ea2,1102
0x2744016618Eee84cDF127968C26B9F4FFF0A9479,1070
0x1EfA0d654D2CeAf84e14c60B3971f572bA169253,1064
0xBE9b3933ECc52fBa404448fB02975825b0cd341E,1052
0xefc40E0b3873dc765bDcb1C4B04c6e946599eAB5,1039
0x7De75c4C65EC7F3026DEbf8f4588bfdD0ef98566,1038
0x02Cf6870a242dbC9AaDc63a5AbEfeE2a072B6EFC,1001
0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,958
0x86C0C09eb33E39af391d1c6f67dfFC65915EAf2e,936
0x47890e03a263cc53D1689AB72ad02A187Cf1c4Cd,901
0x21555C9b51A558Bfa350F95a03fcb07b584cBf63,900
0x62810f139d083bC02dE422CC9c9f5e84eB94c8cb,878
0xb0414845Ad84AA9acf170278029aa0fcB0b33604,860
0xf4A845aa78dADD56E075D4E6664258EA308Ba5ab,823
0x3d7098bF88675F09Fb0c1c746dbe41aF2686387A,806
0x5a91779E266237e3d07418800f8714819079Bc4b,800
0xc0e9ec12f342b279676F8f0Cb4268B2F147F1cfB,790
0x3847f30404CdD1bD526E6f31C8d8e7EE3D901735,779
0xB92FBa67f64609f6A3FB98fBE46DF869E9D38154,767
0xAC465fF0D29d973A8D2Bae73DCF6404dD05Ae2c9,750
0xC0A8D7c093ECeFd6F4AEbE97172731c6A5d5FFf6,738
0x2f5358aBe9960d211677B76F1410C977d6d3ba6c,736
0x301C0dd82f1585F0D8Fbc5D545207B2e1E1Fd023,731
0xdca742F81cD1F4fC8b188637b1EA60B37a827d30,725
0x9A6C4436eACEd8A99E14a395DA42525012E0b69F,721
0xc4815F04d8839DBC1e3ABE14C6a21D2f7A13b217,717
0xe9856510d52A7C97086d7d322b6c7375140769E9,712
0x98eB6D6c5CaA5455A851FAAb397C6ff1484AAA2e,685
0x6A114b4c27A90416dE5e686390B06f779395956d,674
0x76B1777DE3D99ae0F2046bd637676ec60bf72F12,665
0x0DA13E1e4A1b4bd43C2805F0f8b82666454b4735,656
0xebf1d6C3ECa6be57882edF3EF4D37b3A39F3C098,650
0xfd050aa0fc514E499d75cEed6c6ac3296758d026,616
0x60575dcd3137F82F1f18dF40f9bC0555ADa2fBE8,601
0xA4981CaD0E385Cd956a5Febb904F36fDDaa9DCfe,600
0x60611fc2B04882483167E13ee38C86615177A748,584
0xf978c2CbE1eD541419bba845121106334850cfd9,584
0x99878C105D7ceE8465fbe23b105A0c2E1C29D688,578
0xecfB8A78136727A415DD6AefE40DaA7BE7eb47a0,578
0x35410F3352ac2e6c9E56eF64599b42c5F491ca9a,577
0x0e70FD4ea2A0063396feD52a999d64F661774BE2,571
0x1dE5ecc8D73bC70d9494834188F238C3E2A646dF,571
0x87c3155e99e2De012A320a4a2855D1D2B1Ec3B2C,555
0xf92A24569C9769B2d2Df044eaAB08FD7638Cad46,553
0x49C5d1471c3C874069DD34313E99Cd3d77cede72,550
0xDbf04C4744954ba4058134DAAbd80c73895185D1,547
0x30376c78b2D0E41Aa651690410DFC52F61006688,547
0xc9daa2fFee04FA05c9d7199d2fAba14eE712A9Ae,540
0x8408994a8779FeaD20934E9569B6e89bb4E0d0FD,537
0x972ed8864314386E8f744293ECDfA8E38Ea8E926,532
0x549b96e3Fd3b7c8f5A884035BF8072492056A6a0,531
0x2DCcb797c9820aDD981e21516b4C5d96CD3F5C8c,525
0xfdb4175aeC84582715EEEF12Ef3E84BbeA9419e2,522
0x2Ce8fAA0c60D47a8d9f12dfD622903F5Dd133675,519
0x96023E1D01191752F0a3677029fdcE6AfD55D48c,515
0x5289644b53299D81d4c98C5dEC1dbAA6D8D32E53,504
0x07d73423568CDC88884de6f6D1D95F45aeEa9598,494
0x4F921F166Fcc8749472615230edF61060f0dbfa1,485
0xd406C013B7419158ca68617ecf7d3E3F40800C13,479
0x9FC77b38EcBd1fDa95DB75356bBA0933d28C9a4a,477
0xB6133520456C2eB8dDF74b8e8Cf1d093F76fCcDB,476
0x65f4dbEF2Fc31ceCa1dcD2Daa502249f520435f6,476
0x0F0cD5614BeeDd4a074d73B224A6Fa61dAe0Fa53,471
0x2A4Cdc9bBd937023A95E50185c0c027647f5a7b5,470
0x0ccab1CFA3aD09170321B9347febfC58b65B686B,463
0xdaE84990eb19e08b9AB134B8cEB6F6a58e00Bf54,461
0xf897462468b346192C9D1B1104bB1e9933B268CE,460
0x4954eB5c879e0CDc157E4f0405b5a9A01A517C68,460
0x7bE8938AD868a26737afc38af6A2d5D4A8b3c0D6,457
0x574288c34298aa1b82BB925420Dc86d15bDb6ca9,455
0x9Fe1c07A4B2ee2842eEe679AE719bb23eD341C18,454
0x7467D025fc21BB87176b00330bD88fbBE4Ed3Ba3,451
0xD4cDb8466C9A902C5ABcF8d1D64df5205A74de0c,450
0x19D39F291Ca884a1CA32fD6230103AF2Ad0252C3,444
0x38e8A52Ee60ea89A5b086cD0D3dA4108EFD4827E,442
0x1cA49Ef1e8ff9641becc2E618EE5B1665D98a421,437
0x3d3BB5474E87e3067Fc839557b21DcDCBDDD6b09,419
0xb125779b3c35d2f4C045aA161cbA6388c0f623C0,414
0xbbA06256D6b676EaC77fFEA3249b31C5C43B64BD,413
0xf18595850Cbd400b97e700e1Fa1e1Bb5499f4328,412
0xd8366F75a0F754838192CCf71d1A6492F35eaF87,410
0xd07F6b2B5313FA27963798d9E354B74e926048eB,409
0xD9801361856a6b762e64a7CB7eEE91dEC5f019fB,408
0xEd4746fb9e0b2ece3708CB676B0741a4180eD1aa,405
0x10C56279a947EB40a2ba710534617538b42E1fCB,405
0x20C5F5EA63C509d6501179a06dD41534C79e1613,403
0x0fD287B38CD0F808C910d1762E5191E230990c18,402
0x09e9C8440b506F233041D8E7D0BBe6A47C773F39,399
0xb05607F54F95392F7F96d8F5d20649122E11D975,394
0x837d79B35982c7CDbCF53a2F181169Ae47A460EC,392
0x22929e03204F0E7d9511B01F47B7f3Fa273d7B15,391
0x6172a0D0F80b4D4220F024f8f71Bd25A8cEefc47,390
0xb81D163e3E03aa9a06Cd5fC7d1434ef7B26d185C,387
0xBd4b315ADc4eB301669451d516E5C54341646C39,387
0x6994e8297F41E4d53Fd2496ba47aE347a1f512C9,385
0x3C6DfD64a2fD98f79aDaD8B1844074F42ecE9243,384
0x5a0d8e3B571077B53F5F116218AF85823D9FE4ea,382
0xddC60D163015CF5Ca1369D557A2ca1cC2de1F1e3,375
0x5968A526A66bfd7E77Ba7B70496c39D1F5f5d3b2,375
0xBbC863afCdd2F790FDbFD6a5190b75E9C2043554,375
0xD011B4e50da6a332765aa9cE67Fc72a8Eeccc1DB,371
0xd8FDd107754e7e541df60A408Ed73ed66Fa2d990,367
0x7ecbb34675EEDFbd7e6963B3B8287263Ad1Fa1b9,362
0x39Ca9Cf6f14409875B75e45d17E00a6223584198,356
0x682C067d3D4237b8925D54b9f0B74e7fE934631B,350
0x43508a5Cf252128A788CBa45E43C95187fC3CA5C,339
0xFA1EE41e7591803c86D034d0DD76ffa280a78287,338
0x092f56D0279Eefbf1D1A3117283F2e0643176939,337
0x988927e90D1144061ed33EDb9656537842719F8c,336
0x3CFf5236ef7b734E2675Cdf458E813443495aeaB,335
0x450B54732D34e6EEDF4301294bc99CBCB8d1A3cb,333
0x99CBd00722983b1D4B046B72503ED30705b0e7bf,330
0x2c59900B9442b7A865F93219c04f553a0D7BD003,329
0xD1C22DD6772Fe095c1e9E61e74C638604D9de02a,313
0x3aEc5B95eaB20993b473bD23cd98F6aa772d5B61,308
0x729FB87C4eDa7373Ada4Bb720d2CBAFDbdD83092,307
0x5861e8b905c10cfBb6f8a2F88dA68e7e5ab9Aef9,303
0x77BF08D743C0ff1aA8218aC28583B900Bf2C557C,300
0xF38b740359D0a7eE22580C91E10083BB1A4988C7,297
0x645d0A7A195EA86F9840867c30917c595Ffdb7e7,297
0x4DaCe5a18a8C9d4D5f0a01269Df49e3cc2B52750,296
0x10D53c54B7A0D672D168F68B8e6dC326678e08A5,294
0x2E5684EfBB794C111c25293f28a706D1b5F96834,291
0xf56036f6a5D9b9991c209DcbC9C40b2C1cD46540,289
0x8EeC49C06322ad8181ca3bbAb3899507977Bb9D8,283
0x6B04625Da2889044fD49De5745698bC807B97D09,280
0x891fC582fec885957Da8152F44570e0c7F713649,276
0x7Ae45DF3246151AcDC822135bbA050865360354d,275
0x971e96e34919FdfBF66b7E16108AB349814A4b96,271
0x897BEE5F34f5DeE5B60e8a51a2Cad35C84121a95,259
0xdf919599C5d87dCfaC76eEb6CBCF5F7549bd5194,251
0xE0Be540507a77c83d3F5560a0B0391974537C851,249
0x022eB305961429BAd9E95F7760b9BDD84578AAce,248
0xcF9936A72790412F32c945736B1D0fF52c79F590,247
0xeCCD023842a3547C3CDB5645dd3C0497E3141377,241
0x390bd8b99D5ff0633F981F80CfecB68e971902E5,237
0xB90a1CA13e574F9dD09Ac726cce4a6EC2e865191,236
0x67f74F3a0ac310512937FfafFd0CEDfF657FeaDf,235
0x602a8f582b2e84A49f91899d6CdD36B825146637,225
0xc4B229726a19b8eB42342dFd13bE9A5870Cb2Ef0,225
0xdDE26C0F5C11aAD7671C9CcD0cc17A95bf9453B5,221
0xbA9a7BF08Aad49E3c46a6A9Cef85ecc42b0B1CfB,219
0x4178FF48704aDbd0F0EFC1f5DB72A572F25ABb9b,219
0xb39Ad2881f4665bA42053836C7a1B27a8a5039C1,216
0x27C998270dF222Bd80C3E8d658A835a344CC51b3,212
0x14c8e6Aac36E0523aFcF0870866B61d15CDed5bC,208
0x0849708597BAF23bc3191cEfde667fB1753555dc,206
0x6a6DEF20b95c180a77fAb7A244a76454Dbf33259,206
0x539E86DF5bA343a9e85D45DD308a7fe2CafbB0C4,204
0xd2Bca3f1814734B6d5a4a1b3159e41A5d35F946a,202
