Drop Name: XIO Distro
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 586034.0
Start Date: 2022-05-19 23:00:00
End Date: 2023-05-20 23:00:00

address,amount
0x5Da9aC2b36FE8415Df9AC15E3fBeE99dE5dC000A,37500
0x57eff077A9cAa022371Cad16DCDF06516D1ee188,13394
0x0dD094b897778a62E890Ca65d072c558b94ca515,8614
0x6D90ab69ad831Ee4cdd11BE8e185B7843d1bD385,6653
0x00b8cf5347b1d716aF821dF508f0C6a9037a367A,4695
0x5aD5d14fD858a729736Aad114A25f89319F9A2d8,4623
0x215C22ab36103f1faABcd0b8dD4e0E7E642678EF,4202
0x5C43Bd66B33B9E9F45641e9dA824d403c4663859,3756
0x1BC64307e6DDC620635b862FD2051BE32Bbf26A3,3750
0x7a2B82C0267ce3d4695Bf96061Ab84A9422701d2,19993
0x542A313e799F4828d3dc2360e7a73bc76d7939Ed,3516
0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,15919
0xcdA2A0C1A26A12f7Cd55a8Ec1C45a5e661721bb6,6000
0x9823D1608Dd094a7Fa88e08B6d5Bd29d09B0E86b,2706
0xE9B6f1cf616DD478E9aa8117E4d57c1D4e3d64e6,3503
0xdc1f57DB504495A979a64E71f9c62b626042e810,4595
0x5CD9aF1813489B83bF2D97471d8d2AD26B1a9450,1875
0xDE0ADA1a303517C3320E180601d14F135052e12C,1789
0xbee26f064a6448bdb377144253bC76AFC98195af,1750
0x3772bFaD95Ea1E9171eD9Ce4Da3e2E2F3BbD099b,1594
0x95DF823F29d5747C0Df79e85f8b9826cF7542D3f,1557
0x3d7098bF88675F09Fb0c1c746dbe41aF2686387A,6056
0x21B44B450B0bC1bf0bB2B906FFF1eE690A948654,1927
0x82272C9FB9578c7669Cdbde8393c1e34C9bBaaf9,2710
0x3D0Ec0ADbe7c22EE54F1221F5b023471a1c86E51,1371
0x585d7FB5C59ae1d1BEA3a03EFfB3D196cdbB7437,7020
0x98265A1ff213DD8136E0Bf58c2c40cb47D2b8648,5357
0xEb3F83c871abE0E5d4042976ab6C9F46aC3f6b07,1289
0x56DBAd2493cB2B9f57a107336a0E9bA2A628ACC0,2360
0x1692ecD81FbAc9efC23F1BE1867D568fbe7eC809,1266
0x1CBEA49cD004444eA511B23e999C05945C70Ee54,7142
0x00a888a4cAc1a5a82029bff090AadDB98407303A,6534
0xf2A8d44b673bbF7506525147478eDA096ac69AeE,6596
0x57f8fFf041E3Dcd3544A65fb76Ec492488f91d66,1692
0x911A6D66A2a60cEaFb894ceDf60Cd00042f6300d,4192
0x994323b9B07855F7B0a7aDaefCc54498573B2282,4173
0x7De75c4C65EC7F3026DEbf8f4588bfdD0ef98566,1557
0xBC58B83665739EBf7825855cf21af7b2A6Bd22b2,1836
0xF6BE5b79F2c702506dfb6F304974D25571E4a6aa,5676
0x02Cf6870a242dbC9AaDc63a5AbEfeE2a072B6EFC,2402
0x950bACe3Ee65e3c1148a1A07395E04f91fD49d76,884
0x6571499e9c56C60b92A62DAae9BE187D03D831f4,4766
0xbc3A39B66dEe57C816e8D20fF0e55E418A71425f,3276
0xAC5cE0b37A0706C2FE3a05a1650A58A42919C270,4726
0x588031347BEaA0D43978bC8C0094138A67D1A071,787
0x3847f30404CdD1bD526E6f31C8d8e7EE3D901735,3116
0x0e34278c0DfE77AF486Dc2791bdF47307819Bf04,4630
0x1190d9a6f624836B4c0f8864b5Adc969C54ae746,764
0x205259fef46B84845e335aE7fE936aC01967a740,750
0xae568cc9305aF46a92FD33381C4731ADF198ad4E,2250
0xAC465fF0D29d973A8D2Bae73DCF6404dD05Ae2c9,2625
0x364f71B08Ae1B8Aa99Fc4fE648F9c161632c1470,1484
0xe9856510d52A7C97086d7d322b6c7375140769E9,2848
0x0D9C85B80BF60169902Bc947d1d3dDBF3Dea0BfE,4204
0x1CC9347dF80C6898F83819a048d1fFfb12Fb3749,1332
0xdDE8fCb76e0796B6D2F2fFA450573f02BB32FF4c,1302
0xebf1d6C3ECa6be57882edF3EF4D37b3A39F3C098,2600
0x102cc1D37A6b4F259a61d136C54575d40DAa7E42,3816
0xA4981CaD0E385Cd956a5Febb904F36fDDaa9DCfe,3000
0x04eE14d114aa35789cfc345A7Ec1B2dFedC2b149,1170
0x52106E12BA2984549823CC88922B0886bA5c0180,2323
0x0e70FD4ea2A0063396feD52a999d64F661774BE2,2776
0x47890e03a263cc53D1689AB72ad02A187Cf1c4Cd,3173
0xb72def5D1a7439dc217a79460aDEfFdD29C9973B,3408
0xE65B51245F9819d4A60762a023DCD4e3800C5Ea2,1102
0x2744016618Eee84cDF127968C26B9F4FFF0A9479,535
0x1EfA0d654D2CeAf84e14c60B3971f572bA169253,1064
0xBE9b3933ECc52fBa404448fB02975825b0cd341E,1052
0xecfB8A78136727A415DD6AefE40DaA7BE7eb47a0,523
0x30376c78b2D0E41Aa651690410DFC52F61006688,1019
0xefc40E0b3873dc765bDcb1C4B04c6e946599eAB5,3118
0xf4A845aa78dADD56E075D4E6664258EA308Ba5ab,2882
0x07d73423568CDC88884de6f6D1D95F45aeEa9598,2471
0x4F921F166Fcc8749472615230edF61060f0dbfa1,2424
0x87c3155e99e2De012A320a4a2855D1D2B1Ec3B2C,1913
0x7bE8938AD868a26737afc38af6A2d5D4A8b3c0D6,1828
0x9Fe1c07A4B2ee2842eEe679AE719bb23eD341C18,2270
0x21555C9b51A558Bfa350F95a03fcb07b584cBf63,2700
0x62810f139d083bC02dE422CC9c9f5e84eB94c8cb,2634
0xdca742F81cD1F4fC8b188637b1EA60B37a827d30,435
0x2Ce8fAA0c60D47a8d9f12dfD622903F5Dd133675,2203
0xb125779b3c35d2f4C045aA161cbA6388c0f623C0,1656
0xf18595850Cbd400b97e700e1Fa1e1Bb5499f4328,1648
0xd07F6b2B5313FA27963798d9E354B74e926048eB,1636
0xD9801361856a6b762e64a7CB7eEE91dEC5f019fB,1632
0x10C56279a947EB40a2ba710534617538b42E1fCB,1620
0x09e9C8440b506F233041D8E7D0BBe6A47C773F39,1197
0xc0e9ec12f342b279676F8f0Cb4268B2F147F1cfB,2370
0x22929e03204F0E7d9511B01F47B7f3Fa273d7B15,1368
0xBd4b315ADc4eB301669451d516E5C54341646C39,1354
0xB92FBa67f64609f6A3FB98fBE46DF869E9D38154,1535
0x3C6DfD64a2fD98f79aDaD8B1844074F42ecE9243,384
0x5a0d8e3B571077B53F5F116218AF85823D9FE4ea,382
0xBbC863afCdd2F790FDbFD6a5190b75E9C2043554,750
0x98eB6D6c5CaA5455A851FAAb397C6ff1484AAA2e,1484
0xC0A8D7c093ECeFd6F4AEbE97172731c6A5d5FFf6,2214
0xd8FDd107754e7e541df60A408Ed73ed66Fa2d990,1834
0x301C0dd82f1585F0D8Fbc5D545207B2e1E1Fd023,2194
0xc4815F04d8839DBC1e3ABE14C6a21D2f7A13b217,358
0x6994e8297F41E4d53Fd2496ba47aE347a1f512C9,692
0x6A114b4c27A90416dE5e686390B06f779395956d,674
0x092f56D0279Eefbf1D1A3117283F2e0643176939,1684
0x76B1777DE3D99ae0F2046bd637676ec60bf72F12,1996
0x450B54732D34e6EEDF4301294bc99CBCB8d1A3cb,1665
0x0DA13E1e4A1b4bd43C2805F0f8b82666454b4735,1968
0x5289644b53299D81d4c98C5dEC1dbAA6D8D32E53,1638
0xfd050aa0fc514E499d75cEed6c6ac3296758d026,308
0x729FB87C4eDa7373Ada4Bb720d2CBAFDbdD83092,1535
0xf978c2CbE1eD541419bba845121106334850cfd9,1181
0x8408994a8779FeaD20934E9569B6e89bb4E0d0FD,1642
0x60575dcd3137F82F1f18dF40f9bC0555ADa2fBE8,1802
0x60611fc2B04882483167E13ee38C86615177A748,1752
0x99878C105D7ceE8465fbe23b105A0c2E1C29D688,578
0x35410F3352ac2e6c9E56eF64599b42c5F491ca9a,1730
0x1dE5ecc8D73bC70d9494834188F238C3E2A646dF,1714
0x65f4dbEF2Fc31ceCa1dcD2Daa502249f520435f6,1529
0xf92A24569C9769B2d2Df044eaAB08FD7638Cad46,1105
0x49C5d1471c3C874069DD34313E99Cd3d77cede72,550
0x971e96e34919FdfBF66b7E16108AB349814A4b96,1355
0xc9daa2fFee04FA05c9d7199d2fAba14eE712A9Ae,1620
0x549b96e3Fd3b7c8f5A884035BF8072492056A6a0,1063
0x972ed8864314386E8f744293ECDfA8E38Ea8E926,1596
0x2A4Cdc9bBd937023A95E50185c0c027647f5a7b5,1000
0x2DCcb797c9820aDD981e21516b4C5d96CD3F5C8c,1051
0xfdb4175aeC84582715EEEF12Ef3E84BbeA9419e2,261
0x96023E1D01191752F0a3677029fdcE6AfD55D48c,1546
0x9FC77b38EcBd1fDa95DB75356bBA0933d28C9a4a,478
0xB6133520456C2eB8dDF74b8e8Cf1d093F76fCcDB,1428
0x0F0cD5614BeeDd4a074d73B224A6Fa61dAe0Fa53,1414
0xdaE84990eb19e08b9AB134B8cEB6F6a58e00Bf54,462
0x0ccab1CFA3aD09170321B9347febfC58b65B686B,1388
0x4954eB5c879e0CDc157E4f0405b5a9A01A517C68,1380
0x574288c34298aa1b82BB925420Dc86d15bDb6ca9,909
0x7467D025fc21BB87176b00330bD88fbBE4Ed3Ba3,1354
0x0fD287B38CD0F808C910d1762E5191E230990c18,826
0x19D39F291Ca884a1CA32fD6230103AF2Ad0252C3,1332
0x1cA49Ef1e8ff9641becc2E618EE5B1665D98a421,436
0xd8366F75a0F754838192CCf71d1A6492F35eaF87,1230
0xEd4746fb9e0b2ece3708CB676B0741a4180eD1aa,1214
0xD011B4e50da6a332765aa9cE67Fc72a8Eeccc1DB,1130
0x20C5F5EA63C509d6501179a06dD41534C79e1613,1208
0xdf919599C5d87dCfaC76eEb6CBCF5F7549bd5194,1046
