Drop Name: xioappMigration
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 466079.0639575871
Start Date: 2021-11-20 00:00:00
End Date: 2022-11-20 23:59:59.999000

address,amount
0xfc07f5f616193db30c70423d7d96217e2fb04682,16306
0x57eff077a9caa022371cad16dcdf06516d1ee188,9794
0xc9ab15047c9a131e5c1b567fa11e2cd7cfd97dd2,8848.809982
0xf44b52c11b1c800722e8fdf4aa7f3076339e73c4,8530
0x8408994a8779fead20934e9569b6e89bb4e0d0fd,8437.60378
0x810e65132c5ba12ab2874e4d05299046abe0556b,7002
0x21555c9b51a558bfa350f95a03fcb07b584cbf63,5970
0xf6be5b79f2c702506dfb6f304974d25571e4a6aa,5552
0xeb3f83c871abe0e5d4042976ab6c9f46ac3f6b07,5413
0x60611fc2b04882483167e13ee38c86615177a748,5314
0x648e9002d994191b577b093646d02b89d56eef01,5268
0x2f5358abe9960d211677b76f1410c977d6d3ba6c,5087
0xac465ff0d29d973a8d2bae73dcf6404dd05ae2c9,5039
0xb0414845ad84aa9acf170278029aa0fcb0b33604,4993
0xefc40e0b3873dc765bdcb1c4b04c6e946599eab5,4678
0xd1284eee41b756930ec3e13aae1af2add7d04f02,4638
0xe9b6f1cf616dd478e9aa8117e4d57c1d4e3d64e6,4540.273803
0x7a2b82c0267ce3d4695bf96061ab84a9422701d2,4509
0x5f439a0e0a04a5b8f8979f6bf0ba505b43a8f8fc,4476
0xc0e9ec12f342b279676f8f0cb4268b2f147f1cfb,4187
0x17443f321a2ec804661fa41c873e0fe75c7f56a0,3904
0xfbae6fd6658973792ce006e134a3edcaaf6aa3eb,3782
0xa4981cad0e385cd956a5febb904f36fddaa9dcfe,3720
0xb3d8ab962cba81b923d9f4dcb56864e1d0e20a4e,3576
0x6a114b4c27a90416de5e686390b06f779395956d,3572
0x3847f30404cdd1bd526e6f31c8d8e7ee3d901735,3530
0xb6133520456c2eb8ddf74b8e8cf1d093f76fccdb,3269
0xe826cf83f03732ea35eaf4cd9627d57529feca4b,3144
0x20c5f5ea63c509d6501179a06dd41534c79e1613,3099
0x0e34278c0dfe77af486dc2791bdf47307819bf04,3086
0xf34844fac0f1145ce0d55e7357e188b99d6eadd3,3042
0x07c91b3993a696b0bedcbe146948cebce5a2d774,3001
0xebf1d6c3eca6be57882edf3ef4d37b3a39f3c098,2946
0xba865273811e0c0f2bcfb4f7aeebbdcf15d409ec,2917.836542
0x9fe1c07a4b2ee2842eee679ae719bb23ed341c18,2815
0x16edff02d1607b75a4d847608eae57f2eb1ca2da,2814
0x86c0c09eb33e39af391d1c6f67dffc65915eaf2e,2808
0x2e6ddaa78c3db7bef53a65d4921a088d17b15f92,2800
0xd4cdb8466c9a902c5abcf8d1d64df5205a74de0c,2790
0x927c9b3a68c1e90df35b3b36ee9d30d8933da791,2778
0x60575dcd3137f82f1f18df40f9bc0555ada2fbe8,2724.239219
0xc92a15cf8f3f8392e50ec44a81f29e1799ae1fc9,2720
0xed4746fb9e0b2ece3708cb676b0741a4180ed1aa,2684
