Drop Name: XIODistroNov21
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 480088
Start Date: 2021-11-20 00:00:00
End Date: 2022-11-20 23:59:59.999000

address,amount
0x5da9ac2b36fe8415df9ac15e3fbee99de5dc000a,50000
0xbee26f064a6448bdb377144253bc76afc98195af,30000
0x4a8beb532642e1f79d88c451e0f95026688fd3da,20663
0x57eff077a9caa022371cad16dcdf06516d1ee188,17859
0x0dd094b897778a62e890ca65d072c558b94ca515,14157
0x4bf4e3a59add035c479cde89d98103cb65dca941,11976
0x00b8cf5347b1d716af821df508f0c6a9037a367a,9389
0x95551cf63f5794287ab2ab4ffdb3b07b3df31702,9227
0x6d90ab69ad831ee4cdd11be8e185b7843d1bd385,8871
0x215c22ab36103f1faabcd0b8dd4e0e7e642678ef,8403
0xfb96a88d4a780593722a8dcd54972a8ea84dc23d,7649
0x1bc64307e6ddc620635b862fd2051be32bbf26a3,7500
0x542a313e799f4828d3dc2360e7a73bc76d7939ed,6880
0xf1a7b8b3d6a69c30883b2a3fb023593d9bb4c81e,6650
0xb06a2b9e6ecb9636b72ac5242521937bd7baf60f,6164
0x5ad5d14fd858a729736aad114a25f89319f9a2d8,6163
0xa0c1fa3744c79bb662f77ac621a6adbe7f682232,5755
0x8c7f8e274c0a22368eab10fed7608f7e7e5546ee,5737
0x8be25fbf34a9ee21a565dd708a1131d7ee019a66,5475
0x9823d1608dd094a7fa88e08b6d5bd29d09b0e86b,5108
0xd406c013b7419158ca68617ecf7d3e3f40800c13,4761
0x7a2b82c0267ce3d4695bf96061ab84a9422701d2,4509
0xa72ac8f0f01f0253b6605d8f31c63136fc52784b,3875
0x5c43bd66b33b9e9f45641e9da824d403c4663859,3756
0x3fca83e0dec167f1348cb01c7df5437f9ff6ebe6,3750
0xd8e734fa9d779d242b0b905f8b2416f1491233ad,3750
0x3d0ec0adbe7c22ee54f1221f5b023471a1c86e51,3491
0xdc1f57db504495a979a64e71f9c62b626042e810,3393
0xf44b52c11b1c800722e8fdf4aa7f3076339e73c4,3272
0x99e4c65ec7a1328fff0fefc2d5ef1b50543180b7,3250
0xab47e1ce605580c42a1b1eca12831b17a18ea282,3141
0x95df823f29d5747c0df79e85f8b9826cf7542d3f,3113
0x5cd9af1813489b83bf2d97471d8d2ad26b1a9450,3000
0x21b44b450b0bc1bf0bb2b906fff1ee690a948654,2848
0xdc589f8514b7e9ed335a2906ce4f9bf0e267b6ec,2845
0x98265a1ff213dd8136e0bf58c2c40cb47d2b8648,2596
0xe73c98667c82bb76e58c0d9b065b6a0c9ea2d088,2500
0x87c3155e99e2de012a320a4a2855d1d2b1ec3b2c,2500
0xb6ce7a326b3ce58112f6eb4e63154466f3ca858e,2500
0x268cb4c8b97da9d146702d84501a64f597a3aa14,2472
0x1692ecd81fbac9efc23f1be1867d568fbe7ec809,2414
0xde0ada1a303517c3320e180601d14f135052e12c,2386
0x1557d13598c5665d1b8540a149daa5b8c145d95b,2377
0x3772bfad95ea1e9171ed9ce4da3e2e2f3bbd099b,2322
0xfbae6fd6658973792ce006e134a3edcaaf6aa3eb,2317
0xcd69c30f219f8f14d3ab78b895ae89dc63d5b2ec,2248
0xf2a8d44b673bbf7506525147478eda096ac69aee,2199
0x994323b9b07855f7b0a7adaefcc54498573b2282,2087
0x00a888a4cac1a5a82029bff090aaddb98407303a,2071
0xc9ab15047c9a131e5c1b567fa11e2cd7cfd97dd2,1944
0x585d7fb5c59ae1d1bea3a03effb3d196cdbb7437,1800
0x911a6d66a2a60ceafb894cedf60cd00042f6300d,1780
0x950bace3ee65e3c1148a1a07395e04f91fd49d76,1768
0x1cbea49cd004444ea511b23e999c05945c70ee54,1737
0x09e6a264894beefeaab757196826f7c42b4b3f3f,1727
0x82272c9fb9578c7669cdbde8393c1e34c9bbaaf9,1648
0x2dcd241135d2d5b2e9ba2926e436c054fdf8bf0b,1558
0x0e34278c0dfe77af486dc2791bdf47307819bf04,1543
0xf6be5b79f2c702506dfb6f304974d25571e4a6aa,1514
0x205259fef46b84845e335ae7fe936ac01967a740,1500
0xae568cc9305af46a92fd33381c4731adf198ad4e,1500
0x09e9c8440b506f233041d8e7d0bbe6a47c773f39,1499
0x364f71b08ae1b8aa99fc4fe648f9c161632c1470,1485
0xcda2a0c1a26a12f7cd55a8ec1c45a5e661721bb6,1452
0x62cced20a15f1b679a30dee69d8d9dc14146ccb5,1388
0xac5ce0b37a0706c2fe3a05a1650a58a42919c270,1388
0x0fba30051661fa66368ce93b2d997f6698c1da43,1385
0x6571499e9c56c60b92a62daae9be187d03d831f4,1338
0x56dbad2493cb2b9f57a107336a0e9ba2a628acc0,1324
0xdde8fcb76e0796b6d2f2ffa450573f02bb32ff4c,1301
0xeb3f83c871abe0e5d4042976ab6c9f46ac3f6b07,1289
