Drop Name: XIODistroOct21
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 222136
Start Date: 2021-11-20 00:00:00
End Date: 2022-11-20 23:59:59.999000

address,amount
0x57eff077a9caa022371cad16dcdf06516d1ee188,17859
0x9c86f161699b35f7cb5c8fd1f6346e788b0636b4,9468
0x95551cf63f5794287ab2ab4ffdb3b07b3df31702,9227
0x5ad5d14fd858a729736aad114a25f89319f9a2d8,5752
0x9823d1608dd094a7fa88e08b6d5bd29d09b0e86b,5108
0x8c7f8e274c0a22368eab10fed7608f7e7e5546ee,4608
0x7a2b82c0267ce3d4695bf96061ab84a9422701d2,4509
0x810e65132c5ba12ab2874e4d05299046abe0556b,3905
0x21b44b450b0bc1bf0bb2b906fff1ee690a948654,3848
0x1692ecd81fbac9efc23f1be1867d568fbe7ec809,3790
0x5c43bd66b33b9e9f45641e9da824d403c4663859,3756
0x25c227f839500a3b63bb2989f11f97c5cd4185cd,3501
0xf44b52c11b1c800722e8fdf4aa7f3076339e73c4,3272
0xa72ac8f0f01f0253b6605d8f31c63136fc52784b,3100
0xdc1f57db504495a979a64e71f9c62b626042e810,2641
0xde0ada1a303517c3320e180601d14f135052e12c,2386
0xfbae6fd6658973792ce006e134a3edcaaf6aa3eb,2317
0xf2a8d44b673bbf7506525147478eda096ac69aee,2199
0x99e4c65ec7a1328fff0fefc2d5ef1b50543180b7,2166
0xc9ab15047c9a131e5c1b567fa11e2cd7cfd97dd2,1944
0x585d7fb5c59ae1d1bea3a03effb3d196cdbb7437,1800
0x911a6d66a2a60ceafb894cedf60cd00042f6300d,1780
0x950bace3ee65e3c1148a1a07395e04f91fd49d76,1768
0x1cbea49cd004444ea511b23e999c05945c70ee54,1737
0xabec6e862039fcf13efe66a0306b2e0847dc2042,1689
0x0e34278c0dfe77af486dc2791bdf47307819bf04,1543
0xf6be5b79f2c702506dfb6f304974d25571e4a6aa,1514
0xae568cc9305af46a92fd33381c4731adf198ad4e,1500
0x364f71b08ae1b8aa99fc4fe648f9c161632c1470,1485
0x8408994a8779fead20934e9569b6e89bb4e0d0fd,1461
0x00a888a4cac1a5a82029bff090aaddb98407303a,1442
0xbba06256d6b676eac77ffea3249b31c5c43b64bd,1421
0x82272c9fb9578c7669cdbde8393c1e34c9bbaaf9,1415
0x0fba30051661fa66368ce93b2d997f6698c1da43,1385
0x6571499e9c56c60b92a62daae9be187d03d831f4,1338
0x3138841a2cab1df6c745a3319cc943a18143979a,1337
0xdde8fcb76e0796b6d2f2ffa450573f02bb32ff4c,1301
0xeb3f83c871abe0e5d4042976ab6c9f46ac3f6b07,1289
0xbc3a39b66dee57c816e8d20ff0e55e418a71425f,1238
0x52106e12ba2984549823cc88922b0886ba5c0180,1161
0xb72def5d1a7439dc217a79460adeffdd29c9973b,1136
0xff48e7ef46095fd4a459820e142dbf82e0e17940,1125
0xe65b51245f9819d4a60762a023dcd4e3800c5ea2,1102
0x11892cc36194312cd3b844d4e9c4ea6d8d881755,1060
0x927c9b3a68c1e90df35b3b36ee9d30d8933da791,1042
0xefc40e0b3873dc765bdcb1c4b04c6e946599eab5,1039
0x1190d9a6f624836b4c0f8864b5adc969c54ae746,1018
0xdfabef01569847687e142220a329b2d081fbb284,1000
0xbc58b83665739ebf7825855cf21af7b2a6bd22b2,991
0x0d9c85b80bf60169902bc947d1d3ddbf3dea0bfe,938
0x86c0c09eb33e39af391d1c6f67dffc65915eaf2e,936
0xe9b6f1cf616dd478e9aa8117e4d57c1d4e3d64e6,927
0x2744016618eee84cdf127968c26b9f4fff0a9479,911
