Drop Name: XLP Distro
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 188449.0
Start Date: 2022-09-19T23:00:00.000Z
End Date: 2023-09-20T22:59:59.999Z

address,amount
0x5Da9aC2b36FE8415Df9AC15E3fBeE99dE5dC000A,12500
0xB267A6cc3c4eF82326b802CFA7093c4BE4C25C11,10694
0x75768809A1C2B72f5d7d4bF6c4C7EA1e7Edf4B1c,10000
0x0dD094b897778a62E890Ca65d072c558b94ca515,9412
0xdc1f57DB504495A979a64E71f9c62b626042e810,7652
0x579380d93F6Cd6cFc9fFa0a3A42Dd48DbC2aa453,6250
0x90F08Ce96bc53C20b7A6B4f67bDE0eFF494594F8,6250
0x7a2B82C0267ce3d4695Bf96061Ab84A9422701d2,5020
0x00b8cf5347b1d716aF821dF508f0C6a9037a367A,4695
0x5aD5d14fD858a729736Aad114A25f89319F9A2d8,4623
0x5C43Bd66B33B9E9F45641e9dA824d403c4663859,3756
0xbee26f064a6448bdb377144253bC76AFC98195af,3750
0xcdA2A0C1A26A12f7Cd55a8Ec1C45a5e661721bb6,3750
0x1BC64307e6DDC620635b862FD2051BE32Bbf26A3,3750
0x5CD9aF1813489B83bF2D97471d8d2AD26B1a9450,3750
0x542A313e799F4828d3dc2360e7a73bc76d7939Ed,3516
0x9823D1608Dd094a7Fa88e08B6d5Bd29d09B0E86b,3469
0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,3359
0x1CBEA49cD004444eA511B23e999C05945C70Ee54,2083
0x3772bFaD95Ea1E9171eD9Ce4Da3e2E2F3BbD099b,2045
0xF6BE5b79F2c702506dfb6F304974D25571E4a6aa,1892
0x3d7098bF88675F09Fb0c1c746dbe41aF2686387A,1875
0xDE0ADA1a303517C3320E180601d14F135052e12C,1789
0x95DF823F29d5747C0Df79e85f8b9826cF7542D3f,1557
0x98265A1ff213DD8136E0Bf58c2c40cb47D2b8648,1547
0x21B44B450B0bC1bf0bB2B906FFF1eE690A948654,1671
0x3D0Ec0ADbe7c22EE54F1221F5b023471a1c86E51,1371
0x585d7FB5C59ae1d1BEA3a03EFfB3D196cdbB7437,1350
0x56DBAd2493cB2B9f57a107336a0E9bA2A628ACC0,1344
0xEb3F83c871abE0E5d4042976ab6C9F46aC3f6b07,1289
0x1692ecD81FbAc9efC23F1BE1867D568fbe7eC809,1288
0xBC58B83665739EBf7825855cf21af7b2A6Bd22b2,1259
