Drop Name: XLP Distro
Token Address: 0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704
Dropper Address: 0x5089722613C2cCEe071C39C59e9889641f435F15
Total Amount: 142912.0
Start Date: 2023-01-20T08:00:00.000Z
End Date: 2024-01-21T07:59:59.999Z

address,amount
0xdc1f57DB504495A979a64E71f9c62b626042e810,9941
0x0dD094b897778a62E890Ca65d072c558b94ca515,9412
0x5aD5d14fD858a729736Aad114A25f89319F9A2d8,9245
0x7a2B82C0267ce3d4695Bf96061Ab84A9422701d2,5020
0x00b8cf5347b1d716aF821dF508f0C6a9037a367A,4695
0x5C43Bd66B33B9E9F45641e9dA824d403c4663859,3756
0x1BC64307e6DDC620635b862FD2051BE32Bbf26A3,3750
0xDE0ADA1a303517C3320E180601d14F135052e12C,3579
0x542A313e799F4828d3dc2360e7a73bc76d7939Ed,3516
0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,3359
0x585d7FB5C59ae1d1BEA3a03EFfB3D196cdbB7437,2699
0x1CBEA49cD004444eA511B23e999C05945C70Ee54,2083
0x3772bFaD95Ea1E9171eD9Ce4Da3e2E2F3BbD099b,2045
0xF6BE5b79F2c702506dfb6F304974D25571E4a6aa,1892
0x3d7098bF88675F09Fb0c1c746dbe41aF2686387A,1875
0x3D0Ec0ADbe7c22EE54F1221F5b023471a1c86E51,1746
0x95DF823F29d5747C0Df79e85f8b9826cF7542D3f,1557
0x98265A1ff213DD8136E0Bf58c2c40cb47D2b8648,1547
0x21B44B450B0bC1bf0bB2B906FFF1eE690A948654,1469
0x04eE14d114aa35789cfc345A7Ec1B2dFedC2b149,1462
0x00a888a4cAc1a5a82029bff090AadDB98407303A,1196
0x0D9C85B80BF60169902Bc947d1d3dDBF3Dea0BfE,1130
0xf2A8d44b673bbF7506525147478eDA096ac69AeE,1099
0xdca742F81cD1F4fC8b188637b1EA60B37a827d30,1088
0x1EfA0d654D2CeAf84e14c60B3971f572bA169253,1064
0x911A6D66A2a60cEaFb894ceDf60Cd00042f6300d,1048
0x994323b9B07855F7B0a7aDaefCc54498573B2282,1043
0x7De75c4C65EC7F3026DEbf8f4588bfdD0ef98566,1038
0xf4A845aa78dADD56E075D4E6664258EA308Ba5ab,1029
0x588031347BEaA0D43978bC8C0094138A67D1A071,1018
0xbee26f064a6448bdb377144253bC76AFC98195af,1008
0xD8E734Fa9d779d242b0B905f8B2416F1491233AD,1008
0x6571499e9c56C60b92A62DAae9BE187D03D831f4,857
0xbc3A39B66dEe57C816e8D20fF0e55E418A71425f,819
0x3FCA83e0Dec167f1348CB01c7dF5437F9ff6EBE6,806
0xAC5cE0b37A0706C2FE3a05a1650A58A42919C270,788
0x3847f30404CdD1bD526E6f31C8d8e7EE3D901735,779
0x205259fef46B84845e335aE7fE936aC01967a740,750
0xae568cc9305aF46a92FD33381C4731ADF198ad4E,750
0xAC465fF0D29d973A8D2Bae73DCF6404dD05Ae2c9,750
0x364f71B08Ae1B8Aa99Fc4fE648F9c161632c1470,742
0x1692ecD81FbAc9efC23F1BE1867D568fbe7eC809,694
0x1CC9347dF80C6898F83819a048d1fFfb12Fb3749,666
0xdDE8fCb76e0796B6D2F2fFA450573f02BB32FF4c,651
0xebf1d6C3ECa6be57882edF3EF4D37b3A39F3C098,650
0x5289644b53299D81d4c98C5dEC1dbAA6D8D32E53,631
0xA4981CaD0E385Cd956a5Febb904F36fDDaa9DCfe,600
0xecfB8A78136727A415DD6AefE40DaA7BE7eb47a0,596
0x52106E12BA2984549823CC88922B0886bA5c0180,581
0x1dE5ecc8D73bC70d9494834188F238C3E2A646dF,571
0x47890e03a263cc53D1689AB72ad02A187Cf1c4Cd,568
0xb72def5D1a7439dc217a79460aDEfFdD29C9973B,568
0xE65B51245F9819d4A60762a023DCD4e3800C5Ea2,551
0x49C5d1471c3C874069DD34313E99Cd3d77cede72,550
0x30376c78b2D0E41Aa651690410DFC52F61006688,547
0x2744016618Eee84cDF127968C26B9F4FFF0A9479,535
0x972ed8864314386E8f744293ECDfA8E38Ea8E926,532
0x2DCcb797c9820aDD981e21516b4C5d96CD3F5C8c,525
0xefc40E0b3873dc765bDcb1C4B04c6e946599eAB5,520
0x96023E1D01191752F0a3677029fdcE6AfD55D48c,515
0x07d73423568CDC88884de6f6D1D95F45aeEa9598,494
0x4F921F166Fcc8749472615230edF61060f0dbfa1,485
0x7bE8938AD868a26737afc38af6A2d5D4A8b3c0D6,457
0x9Fe1c07A4B2ee2842eEe679AE719bb23eD341C18,454
0x7467D025fc21BB87176b00330bD88fbBE4Ed3Ba3,451
0x8C7F8e274C0A22368EAB10fEd7608F7e7E5546ee,450
0x21555C9b51A558Bfa350F95a03fcb07b584cBf63,450
0x0fD287B38CD0F808C910d1762E5191E230990c18,446
